"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, ,"Crerar, P.I.C.",Con,3'621,8.4,,-,0.2
, ,"Bonnar, W.",SSP,1'164,2.7,*,-,1.9
, ,"Murdoch, J.E. Ms.",UKIP,457,1.1,*,,
, , , ,-----,---,, , 
,, , ,16'112,37.2,, , 
2001: Lab,, , , , , , , 
Rutland and Melton [486],65.4,"Duncan, A.J.C.*",Con,25'237,51.2,,+,3.1
75'395, ,"Arnold, L.J. Ms.",Lab,12'307,25,,-,4.8
, ,"Hudson, G.",LD,9'153,18.6,,+,0.8
, ,"Baker, P.C.J.",UKIP,1'554,3.2,*,+,0.6
, ,"Shelley, D.E.",Ver,696,1.4,*,, 
, ,"Pender, H. Ms.",Ind,337,0.7,*,, 
, , , ,-----,---,, , 
,, , ,12'930,26.2,, , 
2001: Con,, , , , , , , 
Ryedale [487],65.4,"Greenway, J.R.*",Con,21'251,48.2,,+,1
67'448, ,"Beever, G.J.",LD,10'782,24.4,,-,11.6
, ,"Blanchard, P.W.",Lab,9'148,20.7,,+,6
, ,"Feaster, S.",UKIP,1'522,3.4,*,+,1.4
, ,"Clark, J.S.",Lib,1'417,3.2,*,, 
, , , ,-----,---,, , 
,, , ,10'469,23.7,, , 
2001: Con,, , , , , , , 
Saffron Walden [488],67.1,"Haselhurst, A.G.B.*",Con,27'263,51.4,,+,2.5
78'969, ,"Tealby-Watson, E.D.S. Ms.",LD,14'255,26.9,,+,1.9
, ,"Nandanwar, S.D.",Lab,8'755,16.5,,-,6.1
, ,"Tyler, R.B.",UKIP,1'412,2.7,*,-,0.9
, ,"Brown, R.",ED,860,1.6,*,, 
, ,"Hackett, T.",Ver,475,0.9,*,, 
, , , ,-----,---,, , 
,, , ,13'008,24.5,, , 
2001: Con,, , , , , , , 
St. Albans [489],70.4,"Main, A.M. Ms.",Con,16'953,37.3,,+,2
64'595, ,"Pollard, K.P.*",Lab,15'592,34.3,,-,11.2
, ,"Green, M.A.",LD,11'561,25.4,,+,7.5
, ,"Evans, R.M.",UKIP,707,1.6,*,+,0.2
, ,"Girsman, J.R. Ms.",StA,430,0.9,*,, 
, ,"Reynolds, M.J.",Ind,219,0.5,*,, 
, , , ,-----,---,, , 
,, , ,1'361,3,, , 
2001: Lab,, , , , , , , 
St. Helens North [490],55.8,"Watts, D.L.*",Lab,22'329,56.9,,-,4.2
70'411,,"Beirne, J.",LD,8'367,21.3,,+,3.7
, ,"Oakley, P.J.",Con,7'410,18.9,,+,0.1
, ,"Hall, S. Ms.",UKIP,1'165,3,*,,
, , , ,-----,---,, , 
, , , ,13'962,35.6,, , 
2001: Lab,, , , , , , , 
St. Helens South [491],53.8,"Woodward, S.A.*",Lab,19'345,54.5,,+,4.8
65'930, ,"Spencer, B.T.",LD,10'036,28.3,,+,5.2
, ,"Riley, U. Ms.",Con,4'602,13,,-,0.9
, ,"Nightingale, M.J.H.",UKIP,847,2.4,*,+,1.4
, ,"Perry, M.R.",SL,643,1.8,*,,
, , , ,-----,---,, , 
,, , ,9'309,26.2,, , 
2001: Lab,, , , , , , , 
St. Ives [492],67.5,"George, A.H.*",LD,25'577,50.7,,-,0.9
74'716, ,"Mitchell, C.R.",Con,13'968,27.7,,-,3.5
, ,"Dooley, M.",Lab,6'583,13.1,,-,0.3
, ,"Faulkner, M.P.",UKIP,2'551,5.1,,+,1.2
, ,"Slack, K. Ms.",Grn,1'738,3.4,*,,
, , , ,-----,---,, , 
,, , ,11'609,23,, , 
2001: LD,, , , , , , , 
Salford [493],42.4,"Blears, H.A. Ms.*",Lab,13'007,57.6,,-,7.5
53'294, ,"Owen, N.J.",LD,5'062,22.4,,+,6.2
, ,"Cash, L.M. Ms.",Con,3'440,15.2,,-,0.1
, ,"Duffy, L.A. Ms.",UKIP,1'091,4.8,*,,
, , , ,-----,---,, , 
,, , ,7'945,35.2,, , 
2001: Lab,, , , , , , , 
Salisbury [494],68.1,"Key, S.R.*",Con,25'961,47.8,,+,1.2
79'740, ,"Denton-White, R.D.",LD,14'819,27.3,,-,2.8
, ,"Moody, C.M. Ms.",Lab,9'457,17.4,,-,0.1
, ,"Howard, F.M.P. Ms.",UKIP,2'290,4.2,*,+,0.5
, ,"Soutar, H.D.",Grn,1'555,2.9,*,+,0.8
, ,"Holme, J.",,240,0.4,*, ,
, , , ,-----,---,, , 
,, , ,11'142,20.5,, , 
2001: Con,, , , , , , , 
Scarborough and Whitby [495],63.6,"Goodwill, R.",Con,19'248,41,,+,1.4
73'806, ,"Quinn, L.W.*",Lab,18'003,38.4,,-,8.8
, ,"Exley-Moore, T.C. Ms.",LD,7'495,16,,+,7.6
, ,"Dixon, J.M.",Grn,1'214,2.6,*,+,0.4
, ,"Abbott, P.",UKIP,952,2,*,-,0
, , , ,-----,---,, , 
,, , ,1'245,2.7,, , 
2001: Lab,, , , , , , , 
Scunthorpe [496],54.3,"Morley, E.A.*",Lab,17'355,53.1,,-,6.6
60'199, ,"Sturdy, J.",Con,8'392,25.7,,-,3.2
, ,"Poole, N.",LD,5'556,17,,+,7.6
, ,"Baxendale, D.G.",UKIP,1'361,4.2,*,,
,,,,,,,,
, , , ,-----,---,, , 
,, , ,8'963,27.4,, , 
2001: Lab,, , , , , , , 
Sedgefield [497],62.2,"Blair, A.C.L.*",Lab,24'421,58.9,,-,6
66'666, ,"Lockwood, A.J.",Con,5'972,14.4,,-,6.5
, ,"Browne, R.W.",LD,4'935,11.9,,+,2.9
, ,"Keys, R.T.",Ind,4'252,10.3,, , 
, ,"Brown, W.J.",UKIP,646,1.6,*,-,0.9
, ,"Farrell, M.N.",NF,253,0.6,*,, 
, ,"Luckhurst-Matthews, F.C. Ms.",Ver,218,0.5,*,, 
, ,"Abraham, B.A. Ms.",Ind,209,0.5,*,, 
, ,"Staniforth, M.E. Ms.",MRLP,157,0.4,*,, 
, ,"Cockburn, J.M.",BMG,103,0.2,*,, 
, ,"Pattinson, T.W.",SCP,97,0.2,*,, 
, ,"Blairout-Gilham, C. Ms.",PenP,82,0.2,*,, 
, ,"John, H. Ms.",Ind,68,0.2,*,, 
, ,"Barker, J.",,45,0.1,*, ,
, ,"Brennan, J.F.",,17,0,*, ,
, , , ,-----,---,, , 
,, , ,18'449,44.5,, , 
2001: Lab,, , , , , , , 
Selby [498],67.4,"Grogan, J.T.*",Lab,22'623,43.1,,-,2
77'971, ,"Menzies, M.A.",Con,22'156,42.2,,+,1.4
, ,"Cuthbertson, I.M.",LD,7'770,14.8,,+,3.7
, , , ,-----,---,, , 
,, , ,467,0.9,, , 
2001: Lab,, , , , , , , 
Sevenoaks [499],66.5,"Fallon, M.C.*",Con,22'437,51.8,,+,2.4
65'111, ,"Abbotts, B.P.",LD,9'467,21.9,,+,0.2
, ,"Stanley, T.R.",Lab,9'101,21,,-,4.6
, ,"Dobson, R.C.",UKIP,1'309,3,*,+,0.3
, ,"Marshall, J.F.",ED,751,1.7,*,, 
, ,"Ellis, M.C.",UKPF,233,0.5,*,, 
, , , ,-----,---,, , 
,, , ,12'970,30,, , 
2001: Con,, , , , , , , 
Sheffield Attercliffe [500],55.2,"Betts, C.J.C.*",Lab,22'250,60.1,,-,7.7
67'121, ,"Moore, K.",LD,6'283,17,,+,2.8
, ,"Critchlow, T. Ms.",Con,5'329,14.4,,-,0.8
, ,"Arnott, J.W.",UKIP,1'680,4.5,*,+,1.7
, ,"Jones, B.R. Ms.",BNP,1'477,4,*,,
, , , ,-----,---,, , 
,, , ,15'967,43.1,, , 
2001: Lab,, , , , , , , 
Sheffield Brightside [501],48.5,"Blunkett, D.*",Lab,16'876,68.5,,-,8.4
50'801, ,"Harston, J.G.",LD,3'232,13.1,,+,4.4
, ,"Clark, T.",Con,2'205,9,,-,1.2
, ,"Hartigan, C.N.",BNP,1'537,6.2,, ,
, ,"Clarke, J.A.N. Ms.",UKIP,779,3.2,*,+,1.8
, , , ,-----,---,, , 
,, , ,13'644,55.4,, , 
2001: Lab,,,,,,,,
,, , , , , , , 
Sheffield Central [502],51.1,"Caborn, R.G.*",Lab,14'950,49.9,,-,11.6
58'707, ,"Qadar, A.",LD,7'895,26.3,,+,6.6
, ,"George, S.L. Ms.",Con,3'094,10.3,,-,0.6
, ,"Little, B.J.",Grn,1'808,6,,+,2.7
, ,"Bowler, M. Ms.",Resp,1'284,4.3,*,,
, ,"Payne, M.A.",BNP,539,1.8,*,,
, ,"Arnott, C.E. Ms.",UKIP,415,1.4,*,+,0.5
, , , ,-----,---,, , 
,, , ,7'055,23.5,, , 
2001: Lab,, , , , , , , 
Sheffield Hallam [503],69.1,"Clegg, N.W.P.",LD,20'710,51.2,,-,4.2
58'470, ,"Pitfield, S.S.",Con,12'028,29.8,,-,1.2
, ,"Hussain, M.",Lab,5'110,12.6,,+,0.2
, ,"Cole, R.J.N.",Grn,1'331,3.3,*,,
, ,"Cordle, S.C.",CPA,441,1.1,*,, 
, ,"James, N.T.",UKIP,438,1.1,*,-,0
, ,"Senior, I.",BNP,369,0.9,*,,
, , , ,-----,---,, , 
,, , ,8'682,21.5,, , 
2001: LD,, , , , , , , 
Sheffield Heeley [504],57.8,"Munn, M.P. Ms.*",Lab,18'405,54,,-,3
59'035, ,"Ross, C.A.",LD,7'035,20.6,,-,2.1
, ,"Crawshaw, A.A.De C.",Con,4'987,14.6,,+,0.4
, ,"Beatson, J.W.",BNP,1'314,3.9,*,,
, ,"Unwin, R.D.",Grn,1'312,3.8,*,+,1.6
, ,"Suter, M.A.",UKIP,775,2.3,*,+,0.4
, ,"Dunnell, M.A.W.",S Alt,265,0.8,*,, 
, , , ,-----,---,, , 
,, , ,11'370,33.3,, , 
2001: Lab,, , , , , , , 
Sheffield Hillsborough [505],61.2,"Smith, A.C. Ms.",Lab,23'477,51.2,,-,5.7
74'924, ,"Commons, J.P.B.",LD,12'234,26.7,,+,4.1
, ,"Doyle-Price, J. Ms.",Con,6'890,15,,-,3.3
, ,"Wright, D.I.",BNP,2'010,4.4,*,,
, ,"Patterson, M.",UKIP,1'273,2.8,*,+,0.5
, , , ,-----,---,, , 
,, , ,11'243,24.5,, , 
2001: Lab,, , , , , , , 
Sherwood [506],62.8,"Tipping, S.P.*",Lab,22'824,48.4,,-,5.8
74'988, ,"Laughton, R.B.",Con,16'172,34.3,,+,0.5
, ,"Harris, P.R.B.",LD,6'384,13.5,,+,1.6
, ,"Dawkins, M.L.",UKIP,1'737,3.7,*,,
, , , ,-----,---,, , 
,, , ,6'652,14.1,, , 
2001: Lab,, , , , , , , 
Shipley [507],69.7,"Davies, P.A.",Con,18'608,39,,-,1.8
68'396, ,"Leslie, C.M.*",Lab,18'186,38.2,,-,5.8
, ,"Briggs, J.",LD,7'018,14.7,,+,3.9
, ,"Linden, T.W.A.",BNP,2'000,4.2,*,,
, ,"Deakin, Q.E.",Grn,1'665,3.5,*,+,0.5
, ,"Crabtree, D.W.",IWNN,189,0.4,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,422,0.9,, , 
2001: Lab,, , , , , , , 
Shrewsbury and Atcham [508],69.4,"Kawczynski, D.R.",Con,18'960,37.7,,+,0.3
72'517, ,"Ion, M.G.",Lab,17'152,34.1,,-,10.5
, ,"Burt, R.G.",LD,11'487,22.8,,+,10.5
, ,"Lewis, P.M.",UKIP,1'349,2.7,*,-,0.6
, ,"Bullard, E.C.M. Ms.",Grn,1'138,2.3,*,+,0.4
, ,"Gollins, J.G.",Ind,126,0.3,*,, 
, ,"Harris, N.J.",Wor,84,0.2,*,, 
, , , ,-----,---,, , 
,, , ,1'808,3.6,, , 
2001: Lab,, , , , , , , 
Shropshire North [509],63.3,"Paterson, O.W.*",Con,23'061,49.6,,+,0.9
73'477, ,"Samuels, S.M. Ms.",Lab,12'041,25.9,,-,9.3
, ,"Bourne, S.M.",LD,9'175,19.7,,+,6.9
, ,"Smith, I.E.",UKIP,2'233,4.8,*,+,2.3
, , , ,-----,---,, , 
,, , ,11'020,23.7,, , 
2001: Con,, , , , , , , 
Sittingbourne and Sheppey [510],65.2,"Wyatt, D.M.*",Lab,17'051,41.8,,-,4
62'612, ,"Henderson, G.",Con,16'972,41.6,,+,5.1
, ,"Nelson, J.E. Ms.",LD,5'183,12.7,,-,1.4
, ,"Dean, S.C.",UKIP,926,2.3,*,+,0.5
, ,"Young, M.J.",RRL,479,1.2,*,, 
, ,"Cassidy, D.P.",Ver,192,0.5,*,, 
, , , ,-----,---,, , 
,, , ,79,0.2,, , 
2001: Lab,, , , , , , , 
Skipton and Ripon [511],66.3,"Curry, D.M.*",Con,25'100,49.7,,-,2.7
76'207, ,"English, P.A.",LD,13'480,26.7,,+,0.6
, ,"Baptie, P.E.A.",Lab,9'393,18.6,,+,1.2
, ,"Bannister, I.",UKIP,2'274,4.5,*,+,0.3
, ,"Leakey, R.D.",VCCA,274,0.5,*,, 
, , , ,-----,---,, , 
,, , ,11'620,23,, , 
2001: Con,, , , , , , , 
Sleaford and North Hykeham [512],67.1,"Hogg, D.M.*",Con,26'855,50.3,,+,0.6
79'637, ,"Bull, K.E.M. Ms.",Lab,14'150,26.5,,-,5.5
, ,"Harding-Price, D.",LD,9'710,18.2,,+,2
, ,"Croft, G.C.",UKIP,2'682,5,,+,2.8
, , , ,-----,---,, , 
,, , ,12'705,23.8,, , 
2001: Con,, , , , , , , 
Slough [513],52.2,"Mactaggart, F.M. Ms.*",Lab,17'517,47.2,,-,11
71'037, ,"Gunn, S.M. Ms.",Con,9'666,26.1,,-,0.1
, ,"McCann, T.D.",LD,5'739,15.5,,+,4.9
, ,"Khan, A.",Resp,1'632,4.4,*,,
, ,"Howard, W.G.",UKIP,1'415,3.8,*,+,1.9
, ,"Wood, D.T.",Grn,759,2,*,,
, ,"Janik, P.",Ind,367,1,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,7'851,21.2,, , 
2001: Lab,, , , , , , , 
Solihull [514],68,"Burt, L.J. Ms.",LD,20'896,39.9,,+,14
76'908, ,"Taylor, J.M.*",Con,20'617,39.4,,-,6
, ,"Vaughan, R.J.",Lab,8'058,15.4,,-,10.2
, ,"Carr, D.M. Ms.",BNP,1'752,3.3,*,,
, ,"Moore, A.",UKIP,990,1.9,*,-,0.3
, , , ,-----,---,, , 
,, , ,279,0.5,, , 
2001: Con,, , , , , , , 
Somerton and Frome [515],69.5,"Heath, D.W.St.J.*",LD,23'759,43.9,,+,0.3
77'806, ,"Allen, C.E.J.",Con,22'947,42.4,,+,0.1
, ,"Pestell, J.P.",Lab,5'865,10.8,,-,0.8
, ,"Lukins, W.J.",UKIP,1'047,1.9,*,+,0.2
, ,"Beaman, C.A.H.",Ver,484,0.9,*,, 
, , , ,-----,---,, , 
,, , ,812,1.5,, , 
2001: LD,, , , , , , , 
South Holland and The Deepings [516],62.5,"Hayes, J.H.*",Con,27'544,57.1,,+,1.7
77'175, ,"Woodings, L.M. Ms.",Lab,11'764,24.4,,-,7
, ,"Jarvis, S.",LD,6'244,12.9,,+,2.6
, ,"Corney, J.",UKIP,1'950,4,*,+,1.2
, ,"Poll, P.E.",Ind,747,1.5,*,, 
, , , ,-----,---,, , 
,, , ,15'780,32.7,, , 
2001: Con,, , , , , , , 
South Shields [517],50.9,"Miliband, D.W.*",Lab,18'269,60.5,,-,2.7
59'330, ,"Psallidas, S.A.",LD,5'957,19.7,,+,2.9
, ,"Lewis, R.A.",Con,5'207,17.2,,+,0.4
, ,"Afshari-Naderi, N.",Ind,773,2.6,*,, 
, , , ,-----,---,, , 
,, , ,12'312,40.8,, , 
2001: Lab,, , , , , , , 
Southampton Itchen [518],53.8,"Denham, J.Y.*",Lab,20'871,48.3,,-,6.2
80'335, ,"Drummond, F.J.B. Ms.",Con,11'569,26.8,,-,0.6
, ,"Goodall, D.I.",LD,9'162,21.2,,+,6.2
, ,"Rose, K.",UKIP,1'623,3.8,*,+,1.8
, , , ,-----,---,, , 
,, , ,9'302,21.5,, , 
2001: Lab,, , , , , , , 
Southampton Test [519],56,"Whitehead, A.P.V.*",Lab,17'845,42.7,,-,9.8
74'603, ,"MacLoughlin, S.C.",Con,10'827,25.9,,+,0.4
, ,"Sollitt, S.R.",LD,10'368,24.8,,+,6.7
, ,"Spottiswoode, J.C.T.",Grn,1'482,3.5,*,,
, ,"Day, P.A.",UKIP,1'261,3,*,+,1.1
, , , ,-----,---,, , 
,, , ,7'018,16.8,, , 
2001: Lab,, , , , , , , 
Southend West [520],61.9,"Amess, D.A.A.*",Con,18'408,46.2,,-,0.1
64'395,,"Wexham, P.A.",LD,9'449,23.7,,-,1.2
, ,"Etienne, J. Ms.",Lab,9'072,22.8,,-,2.3
, ,"Sampson, C.A. Ms.",UKIP,1'349,3.4,*,-,0.3
, ,"Velmurugan, M.",Ind,745,1.9,*,, 
, ,"Moss, J.W.M.",ED,701,1.8,*,, 
, ,"Anslow, D.",Max,106,0.3,*,, 
, , , ,-----,---,, , 
, , , ,8'959,22.5,, , 
2001: Con,, , , , , , , 
Southport [521],61,"Pugh, J.D.*",LD,19'093,46.3,,+,2.6
67'530, ,"Bigley, M.S.",Con,15'255,37,,+,0.6
, ,"Brant, P.D.",Lab,5'277,12.8,,-,3.8
, ,"Durrance, T.J.",UKIP,749,1.8,*,+,0.5
, ,"Givens, W.",YrP,589,1.4,*,, 
, ,"Forster, H.",Ver,238,0.6,*,, 
, , , ,-----,---,, , 
,, , ,3'838,9.3,, , 
2001: LD,, , , , , , , 
Southwark North and Bermondsey [522],49.3,"Hughes, S.H.W.*",LD,17'874,47.1,,-,9.9
76'931, ,"McNeill, K. Ms.",Lab,12'468,32.8,,+,2
, ,"Branch, D.",Con,4'752,12.5,,+,4.9
, ,"Poorun, S.",Grn,1'137,3,*,+,1
, ,"Robson, L.N. Ms.",UKIP,791,2.1,*,+,1.3
, ,"Winnett, P.",NF,704,1.9,*,, 
, ,"Lawanson, S.C. Ms.",CPA,233,0.6,*,, 
, , , ,-----,---,, , 
,, , ,5'406,14.2,, , 
2001: LD,, , , , , , , 
Spelthorne [523],62.7,"Wilshire, D.*",Con,21'620,50.5,,+,5.4
68'254, ,"Dibble, K.",Lab,11'684,27.3,,-,10
, ,"James, S.A.",LD,7'318,17.1,,+,2.4
, ,"Browne, C.A.",UKIP,1'968,4.6,*,+,1.7
, ,"Schwark, C.M. Ms.",UKCI,239,0.6,*,, 
, , , ,-----,---,, , 
,, , ,9'936,23.2,, , 
2001: Con,, , , , , , , 
Stafford [524],67.5,"Kidney, D.N.*",Lab,19'889,43.7,,-,4.3
67'469, ,"Chambers, D.I.R.",Con,17'768,39,,+,2.4
, ,"Stamp, B.J.",LD,6'390,14,,+,4.5
, ,"Goode, F.R.",UKIP,1'507,3.3,*,-,1.9
, , , ,-----,---,, , 
,, , ,2'121,4.7,, , 
2001: Lab,, , , , , , , 
Staffordshire Moorlands [525],64,"Atkins, C.J.S. Ms.*",Lab,18'126,41,,-,8
69'136, ,"Hayes, M.D.",Con,15'688,35.5,,+,0.1
, ,"Fisher, J.M.",LD,6'927,15.7,,+,1.8
, ,"Povey, S.F.",UKIP,3'512,7.9,,+,6.2
, , , ,-----,---,, , 
,, , ,2'438,5.5,, , 
2001: Lab,, , , , , , , 
Staffordshire South [526],37.2,"Cormack, P.T.*",Con,13'343,52,,+,1.6
68'900,,"Kalinauckas, P.",Lab,4'496,17.5,,-,16.6
, ,"Crotty, J. Ms.",LD,3'540,13.8,, +,2.2
, ,"Hurst, M.W.",UKIP,2'675,10.4,,+,6.7
, ,"Bushell, G.",ED,643,2.5,*,, 
, ,"Spohrer, K.E.J. Ms.",Grn,437,1.7,*,,
, ,"Davies, A.M.",FrP,434,1.7,*,, 
, ,"Braid, D.O.",C28,67,0.3,*,,
, , , ,-----,---,, , 
, , , ,8'847,34.5, , ,
2001: Con,, , , , , , , 
Stalybridge and Hyde [527],54.2,"Purnell, J.M.D.*",Lab,17'535,49.7,,-,5.8
65'183, ,"Boardman, L-A. Ms.",Con,9'187,26,,-,1.8
, ,"Bingham, V.N.",LD,5'532,15.7,,+,2.2
, ,"Byrne, N.C.",BNP,1'399,4,*,,
, ,"Smee, M.",Grn,1'088,3.1,*,,
, ,"Whittaker, J.",UKIP,573,1.6,*,-,1.5
, , , ,-----,---,, , 
,, , ,8'348,23.6,, , 
2001: Lab,, , , , , , , 
Stevenage [528],63,"Follett, D.B. Ms.*",Lab,18'003,42.9,,-,8.9
66'536, ,"Freeman, G.W.",Con,14'864,35.4,,+,3.7
, ,"Davies, J.M. Ms.",LD,7'610,18.1,,+,4
, ,"Peebles, V. Ms.",UKIP,1'305,3.1,*,,
, ,"Losonczi, A.",Ind,152,0.4,*,, 
, , , ,-----,---,, , 
,, , ,3'139,7.5,, , 
2001: Lab,, , , , , , , 
Stirling [529],68.2,"McGuire, A. Ms.*",Lab,15'729,36,,-,7
64'086, ,"Kerr, S.C.",Con,10'962,25.1,,+,1.4
, ,"Holdsworth, K.",LD,9'052,20.7,,+,9.2
, ,"McGlinchey, F.M. Ms.",SNP,5'503,12.6,,-,4.5
, ,"Illingworth, R.D.",Grn,1'302,3,*,,
, ,"Sheret, R.H.",SSP,458,1,*,-,1.7
, ,"McDonald, J.M.",Ind,261,0.6,*,, 
, ,"Willis, M.D.",OCV,215,0.5,*,, 
, ,"Desmond, M.C.",UKIP,209,0.5,*,,
, , , ,-----,---,, , 
,, , ,4'767,10.9,, , 
2001: Lab,, , , , , , , 
Stockport [530],54.5,"Coffey, A. Ms.*",Lab,18'069,50.5,,-,8.1
65'635, ,"Berridge, E.R. Ms.",Con,8'906,24.9,,-,1
, ,"Floodgate, L-S. Ms.",LD,7'832,21.9,,+,6.4
, ,"Simpson, R.I.",UKIP,964,2.7,*,,
, , , ,-----,---,, , 
,, , ,9'163,25.6,, , 
2001: Lab,, , , , , , , 
Stockton North [531],57.6,"Cook, F.*",Lab,20'012,54.9,,-,8.5
63'271, ,"Baldwin, H.M.M. Ms.",Con,7'575,20.8,,-,1.3
, ,"Hughes, N.",LD,6'869,18.9,,+,7
, ,"Parkin, G.H.",UKIP,986,2.7,*,,
, ,"Hughes, K.J.",BNP,986,2.7,*,,
,,,,,,,,
, , , ,-----,---,, , 
,, , ,12'437,34.1,, , 
2001: Lab,, , , , , , , 
Stockton South [532],63,"Taylor, D. Ms.*",Lab,21'480,47.8,,-,5.1
71'286, ,"Gaddas, J.C.W.",Con,15'341,34.1,,+,1.7
, ,"Barker, M.J.",LD,7'171,16,,+,2.4
, ,"Allison, S.M. Ms.",UKIP,931,2.1,*,,
, , , ,-----,---,, , 
,, , ,6'139,13.7,, , 
2001: Lab,, , , , , , , 
Stoke-on-Trent Central [533],48.4,"Fisher, M.*",Lab,14'760,52.9,,-,7.7
57'643, ,"Redfern, J.P.",LD,4'986,17.9,,+,3.2
, ,"Baroudy, E.M. Ms.",Con,4'823,17.3,,-,1.6
, ,"Coleman, M.",BNP,2'178,7.8,, ,
, ,"Bonfiglio, J.",UKIP,914,3.3,*,,
, ,"Cessford, J.A.",S Alt,246,0.9,*,, 
, , , ,-----,---,, , 
,, , ,9'774,35,, , 
2001: Lab,, , , , , , , 
Stoke-on-Trent North [534],52.7,"Walley, J.L. Ms.*",Lab,16'191,52.6,,-,5.3
58'422, ,"Browning, B.A.V.",Con,6'155,20,,+,1.2
, ,"Jebb, H.W.G.",LD,4'561,14.8,,+,2.9
, ,"Cartlidge, S.M.",BNP,2'132,6.9,, ,
, ,"Braithwaite, E. Ms.",UKIP,696,2.3,*,,
, ,"Taylor, I.",Ver,689,2.2,*,, 
, ,"Chesters, H.",Ind,336,1.1,*,, 
, , , ,-----,---,, , 
,, , ,10'036,32.6,, , 
2001: Lab,, , , , , , , 
Stoke-on-Trent South [535],53.6,"Flello, R.C.D.",Lab,17'727,46.9,,-,6.9
70'612, ,"Deaville, M.A.",Con,9'046,23.9,,-,0.7
, ,"Martin, A.P.",LD,5'894,15.6,,+,2.5
, ,"Leat, M.",BNP,3'305,8.7,,+,5
, ,"Benson, N.",UKIP,1'043,2.8,*,,
, ,"Allen, G.M.",Ver,805,2.1,*,, 
, , , ,-----,---,, , 
,, , ,8'681,23,, , 
2001: Lab,, , , , , , , 
Stone [536],67,"Cash, W.N.P.*",Con,22'733,48.3,,-,0.7
70'248, ,"Davis, M.O.",Lab,13'644,29,,-,6.8
, ,"Stevens, P.R.",LD,9'111,19.4,,+,4.3
, ,"Nattrass, M.",UKIP,1'548,3.3,*,,
, , , ,-----,---,, , 
,, , ,9'089,19.3,, , 
2001: Con,, , , , , , , 
Stourbridge [537],65.1,"Waltho, L.E. Ms.",Lab,17'089,41,,-,6.2
64'088, ,"Coad, D.V. Ms.",Con,16'682,40,,+,2.4
, ,"Bramall, C.A.",LD,6'850,16.4,,+,4.3
, ,"Mau, D.P.C.",UKIP,1'087,2.6,*,+,0.7
,,,,,,,,
, , , ,-----,---,, , 
,, , ,407,1,, , 
2001: Lab,, , , , , , , 
Strangford [538],54,"Robinson, I. Ms.*",DUP,20'921,56.5,,+,13.6
68'570, ,"McGimpsey, G.",UU,7'872,21.3,,-,19
, ,"McCarthy, K.",APNI,3'332,9,,+,2.3
, ,"Boyle, J.",SDLP,2'496,6.7,,+,0.6
, ,"Dick, T.",Con,1'462,3.9,*,,
, ,"Kennedy, D.",SF,949,2.6,*,+,0.4
, , , ,-----,---,, , 
,, , ,13'049,35.2,, , 
2001: DUP,, , , , , , , 
Stratford-on-Avon [539],68.9,"Maples, J.C.*",Con,28'652,49.2,,-,1.1
84'540, ,"Juned, S.A. Ms.",LD,16'468,28.3,,-,0.5
, ,"Blackmore, R.J. Ms.",Lab,10'145,17.4,,+,0.7
, ,"Cottam, H.F.",UKIP,1'621,2.8,*,+,0.6
, ,"Davies, M.E.",Grn,1'354,2.3,*,+,0.2
, , , ,-----,---,, , 
,, , ,12'184,20.9,, , 
2001: Con,, , , , , , , 
Streatham [540],51.3,"Hill, K.*",Lab,18'950,46.6,,-,10.6
79'193, ,"Sanders, D.",LD,11'494,28.3,,+,10.2
, ,"Sproule, J.R.",Con,7'238,17.8,,+,0
, ,"Collins, W.B.",Grn,2'245,5.5,,+,1.1
, ,"Gittings, T.",UKIP,396,1,*,,
, ,"Colvill, W.",WRP,127,0.3,*,, 
, ,"Stone, P.J. Ms.",Ind,100,0.2,*,, 
, ,"West, R.J.",Ind,40,0.1,*,, 
, ,"Acheng, S.B. Ms.",Ind,35,0.1,*,, 
, , , ,-----,---,, , 
,, , ,7'456,18.4,, , 
2001: Lab,, , , , , , , 
Stretford and Urmston [541],62.2,"Hughes, B.J. Ms.*",Lab,19'417,51,,-,10.1
61'303, ,"Hinds, D.P.G.",Con,11'566,30.4,,+,3.3
, ,"Bhatti, F.A.",LD,5'323,14,,+,4
, ,"Krantz, M.B.",Resp,950,2.5,*,,
, ,"McManus, M.J.",UKIP,845,2.2,*,,
, , , ,-----,---,, , 
,, , ,7'851,20.6,, , 
2001: Lab,, , , , , , , 
Stroud [542],71.3,"Drew, D.E.*",Lab,22'527,39.6,,-,6.9
79'757, ,"Carmichael, N.",Con,22'177,39,,+,1.6
, ,"Hirst, P.J.",LD,8'026,14.1,,+,3.2
, ,"Whiteside, M.J.",Grn,3'056,5.4,,+,1.9
, ,"Noble, E.",UKIP,1'089,1.9,*,+,0.3
, , , ,-----,---,, , 
,, , ,350,0.6,, , 
2001: Lab,, , , , , , , 
Suffolk Central and Ipswich North [543],67,"Lord, M.N.*",Con,22'333,43.9,,-,0.5
75'925, ,"Macdonald, N.E.",Lab,14'477,28.5,,-,8.6
, ,"Houseley, A.M.",LD,10'709,21.1,,+,4.9
, ,"West, J.L.",UKIP,1'754,3.4,*,+,1
