UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
Mansfield,,Alan Meale,Labour,30556,64.43%,67057,20518,70.72%,Labour Hold,02/05/97 01:49
,,Tim Frost,Conservative,10038,21.17%,,,,,
,,Philip Smith,Liberal Democrat,5244,11.06%,,,,,
,,Jim Bogusz,Referendum,1588,3.35%,,,,,
,,,,,,,,,,
Medway,,Robert Marshall-Andrews,Labour,21858,48.85%,61736,5354,72.47%,Labour Gain,02/05/97 03:52
,,Peggy Fenner,Conservative,16504,36.89%,,,,,
,,Roger Roberts,Liberal Democrat,4555,10.18%,,,,,
,,Joseph Main,Referendum,1420,3.17%,,,,,
,,Susan Radlett,United Kingdom Independence,405,0.91%,,,,,
,,,,,,,,,,
Meirionnydd Nant Conwy,,Elfyn Llwyd,Plaid Cymru,12465,50.72%,32345,6805,75.98%,Plaid Cymru Hold,02/05/97 01:55
,,Hefin Rees,Labour,5660,23.03%,,,,,
,,Jeremy Quin,Conservative,3922,15.96%,,,,,
,,Bobby Feeley,Liberal Democrat,1719,6.99%,,,,,
,,Phillip Hodge,Referendum,809,3.29%,,,,,
,,,,,,,,,,
Meriden,,Caroline Spelman,Conservative,22997,42.03%,76287,582,71.73%,Conservative Hold,02/05/97 02:25
,,Brian Seymour-Smith,Labour,22415,40.96%,,,,,
,,Tony Dupont,Liberal Democrat,7098,12.97%,,,,,
,,Paul Gilbert,Referendum,2208,4.04%,,,,,
,,,,,,,,,,
Merthyr Tydfil and Rhymney,,Ted Rowlands,Labour,30012,76.68%,56507,27086,69.27%,Labour Hold,02/05/97 02:15
,,Duncan Anstey,Liberal Democrat,2926,7.48%,,,,,
,,Jonathan Morgan,Conservative,2508,6.41%,,,,,
,,Alun Cox,Plaid Cymru,2344,5.99%,,,,,
,,Alan Cowdell,Independent,691,1.77%,,,,,
,,Ron Hutchings,Referendum,660,1.69%,,,,,
,,,,,,,,,,
Middlesbrough,,Stuart Bell,Labour,32925,71.43%,70931,25018,64.99%,Labour Hold,02/05/97 01:25
,,Liam Benham,Conservative,7907,17.15%,,,,,
,,Alison Charlesworth,Liberal Democrat,3934,8.53%,,,,,
,,Bob Edwards,Referendum,1331,2.89%,,,,,
,,,,,,,,,,
Middlesbrough South and East Cleveland,,Ashok Kumar,Labour,29319,54.71%,70481,10607,76.03%,Labour Gain,02/05/97 02:06
,,Michael Bates,Conservative,18712,34.92%,,,,,
,,Hamish Garrett,Liberal Democrat,4004,7.47%,,,,,
,,Robin Batchelor,Referendum,1552,2.90%,,,,,
,,,,,,,,,,
Midlothian,,Eric Clarke,Labour,18861,53.51%,47552,9870,74.13%,Labour Hold,02/05/97 01:02
,,Lawrence Millar,Scottish National,8991,25.51%,,,,,
,,Anne Harper,Conservative,3842,10.90%,,,,,
,,Richard Pinnock,Liberal Democrat,3235,9.18%,,,,,
,,Keith Docking,Referendum,320,0.91%,,,,,
,,,,,,,,,,
Milton Keynes North East,,Brian White,Labour,20201,39.43%,70395,240,72.78%,Labour Gain,02/05/97 04:22
,,Peter Butler,Conservative,19961,38.96%,,,,,
,,Graham Mabbutt,Liberal Democrat,8907,17.38%,,,,,
,,Michael Phillips,Referendum,1492,2.91%,,,,,
,,Alan Francis,Green,576,1.12%,,,,,
,,Martin Simson,Natural Law,99,0.19%,,,,,
,,,,,,,,,,
Milton Keynes South West,,Phyllis Starkey,Labour,27298,53.78%,71070,10292,71.42%,Labour Gain,02/05/97 03:37
,,Barry Legg,Conservative,17006,33.50%,,,,,
,,Peter Jones,Liberal Democrat,6065,11.95%,,,,,
,,Hugh Kelly,Natural Law,389,0.77%,,,,,
,,,,,,,,,,
Mitcham and Morden,,Siobhain McDonagh,Labour,27984,58.37%,65385,13741,73.33%,Labour Gain,02/05/97 02:41
,,Angela Rumbold,Conservative,14243,29.71%,,,,,
,,Nicholas Harris,Liberal Democrat,3632,7.58%,,,,,
,,Peter Isaacs,Referendum,810,1.69%,,,,,
,,Lynda Miller,British National,521,1.09%,,,,,
,,Tom Walsh,Green,415,0.87%,,,,,
,,Krishnapillai Vaikunsth Vasan,Independent,144,0.30%,,,,,
,,John Barrett,United Kingdom Independence,117,0.24%,,,,,
,,Nigel Dixon,Independent,80,0.17%,,,,,
,,,,,,,,,,
Mole Valley,,Paul Beresford,Conservative,26178,48.01%,69140,10221,78.86%,Conservative Hold,02/05/97 04:33
,,Stephen Cooksey,Liberal Democrat,15957,29.27%,,,,,
,,Christopher Payne,Labour,8057,14.78%,,,,,
,,Nick Taber,Referendum,2424,4.45%,,,,,
,,Richard Burley,Independent,1276,2.34%,,,,,
,,Ian Cameron,United Kingdom Independence,435,0.80%,,,,,
,,Judy Thomas,Natural Law,197,0.36%,,,,,
,,,,,,,,,,
Monmouth,,Huw Edwards,Labour,23404,47.74%,60703,4178,80.76%,Labour Gain,02/05/97 02:25
,,Roger Evans,Conservative,19226,39.22%,,,,,
,,Mark Williams,Liberal Democrat,4689,9.56%,,,,,
,,Niall Warry,Referendum,1190,2.43%,,,,,
,,Alan Cotton,Plaid Cymru,516,1.05%,,,,,
,,,,,,,,,,
Montgomeryshire,,Lembit Öpik,Liberal Democrat,14647,45.88%,42618,6303,74.91%,Liberal Democrat Hold,02/05/97 01:21
,,Glyn Davies,Conservative,8344,26.14%,,,,,
,,Angharad Davies,Labour,6109,19.14%,,,,,
,,Helen Mary Jones,Plaid Cymru,1608,5.04%,,,,,
,,John Bufton,Referendum,879,2.75%,,,,,
,,Sue Walker,Green,338,1.06%,,,,,
,,,,,,,,,,
Moray,,Margaret Ewing,Scottish National,16529,41.57%,58302,5566,68.21%,Scottish National Hold,02/05/97 01:09
,,Andrew Findlay,Conservative,10963,27.57%,,,,,
,,Lewis Macdonald,Labour,7886,19.83%,,,,,
,,Debra Storr,Liberal Democrat,3548,8.92%,,,,,
,,Paddy Mieklejohn,Referendum,840,2.11%,,,,,
,,,,,,,,,,
Morecambe and Lunesdale,,Geraldine Smith,Labour,24061,48.86%,68013,5965,72.41%,Labour Gain,02/05/97 04:25
,,Mark Lennox-Boyd,Conservative,18096,36.74%,,,,,
,,June Greenwell,Liberal Democrat,5614,11.40%,,,,,
,,Ian Ogilvie,Referendum,1313,2.67%,,,,,
,,David Walne,Natural Law,165,0.34%,,,,,
,,,,,,,,,,
Morley and Rothwell,,John Gunnell,Labour,26836,58.47%,68385,14750,67.12%,Labour Hold,02/05/97 01:59
,,Alan Barraclough,Conservative,12086,26.33%,,,,,
,,Mitchell Galdas,Liberal Democrat,5087,11.08%,,,,,
,,David Mitchell-Innes,Referendum,1359,2.96%,,,,,
,,Roger Wood,British National,381,0.83%,,,,,
,,Pat Sammon,People's Labour,148,0.32%,,,,,
,,,,,,,,,,
Motherwell and Wishaw,,Frank Roy,Labour,21020,57.40%,52252,12791,70.08%,Labour Hold,02/05/97 00:56
,,James McGuigan,Scottish National,8229,22.47%,,,,,
,,Scott Dickson,Conservative,4024,10.99%,,,,,
,,Alex Mackie,Liberal Democrat,2331,6.37%,,,,,
,,Christopher Herriot,Socialist Labour,797,2.18%,,,,,
,,Thomas Russell,Referendum,218,0.60%,,,,,
,,,,,,,,,,
Neath,,Peter Hain,Labour,30324,73.53%,55525,26741,74.28%,Labour Hold,02/05/97 01:53
,,David Evans,Conservative,3583,8.69%,,,,,
,,Trefor Jones,Plaid Cymru,3344,8.11%,,,,,
,,Frank Little,Liberal Democrat,2597,6.30%,,,,,
,,Peter Morris,Referendum,975,2.36%,,,,,
,,Howard Marks,Loyal Conservative,420,1.02%,,,,,
,,,,,,,,,,
New Forest East,,Julian Lewis,Conservative,21053,42.92%,65717,5215,74.64%,Conservative Gain,02/05/97 02:53
,,George Dawson,Liberal Democrat,15838,32.29%,,,,,
,,Alan Goodfellow,Labour,12161,24.79%,,,,,
,,,,,,,,,,
New Forest West,,Desmond Swayne,Conservative,25149,50.55%,66522,11332,74.79%,Conservative Hold,02/05/97 02:59
,,Bob Hale,Liberal Democrat,13817,27.77%,,,,,
,,Dave Griffiths,Labour,7092,14.26%,,,,,
,,Maureen Elliott,Referendum,2150,4.32%,,,,,
,,M Holmes,United Kingdom Independence,1542,3.10%,,,,,
,,,,,,,,,,
Newark,,Fiona Jones,Labour,23496,45.21%,69763,3016,74.50%,Labour Gain,02/05/97 04:11
,,Richard Alexander,Conservative,20480,39.41%,,,,,
,,Peter Harris,Liberal Democrat,5960,11.47%,,,,,
,,Graham Creedy,Referendum,2035,3.92%,,,,,
,,,,,,,,,,
Newbury,,David Rendel,Liberal Democrat,29887,52.92%,73680,8517,76.65%,Liberal Democrat Gain,02/05/97 03:21
,,Richard Benyon,Conservative,21370,37.84%,,,,,
,,Paul Hannon,Labour,3107,5.50%,,,,,
,,Ted Snook,Referendum,992,1.76%,,,,,
,,Rachel Stark,Green,644,1.14%,,,,,
,,R Tubb,United Kingdom Independence,302,0.53%,,,,,
,,Katrina Howse,Socialist Labour,174,0.31%,,,,,
,,,,,,,,,,
Newcastle-under-Lyme,,Llin Golding,Labour,27743,56.47%,65357,17206,75.17%,Labour Hold,02/05/97 01:11
,,Marcus Hayes,Conservative,10537,21.45%,,,,,
,,Robin Studd,Liberal Democrat,6858,13.96%,,,,,
,,Kim Suttle,Referendum,1510,3.07%,,,,,
,,Steven Mountford,Liberal,1399,2.85%,,,,,
,,Bridget Bell,Socialist Labour,1082,2.20%,,,,,
,,,,,,,,,,
Newcastle upon Tyne Central,,Jim Cousins,Labour,27272,59.17%,66686,16480,69.11%,Labour Hold,02/05/97 02:02
,,Brooks Newmark,Conservative,10792,23.42%,,,,,
,,Ruth Berry,Liberal Democrat,6911,15.00%,,,,,
,,Charles Coxon,Referendum,1113,2.41%,,,,,
,,,,,,,,,,
Newcastle upon Tyne East and Wallsend,,Nick Brown,Labour,29607,71.19%,69781,23811,59.60%,Labour Hold,02/05/97 00:53
,,Jeremy Middleton,Conservative,5796,13.94%,,,,,
,,Graham Morgan,Liberal Democrat,4415,10.62%,,,,,
,,Peter Cossins,Referendum,966,2.32%,,,,,
,,Blanch Carpenter,Socialist Labour,642,1.54%,,,,,
,,Martin Levy,Communist of Britain,163,0.39%,,,,,
,,,,,,,,,,
Newcastle upon Tyne North,,Doug Henderson,Labour,28125,62.18%,63272,19332,71.48%,Labour Hold,02/05/97 01:08
,,Gregory White,Conservative,8793,19.44%,,,,,
,,Peter Allen,Liberal Democrat,6578,14.54%,,,,,
,,Doreen Chipchase,Referendum,1733,3.83%,,,,,
,,,,,,,,,,
Newport East,,Alan Howarth,Labour,21481,57.65%,50997,13523,73.06%,Labour Hold,02/05/97 01:38
,,David Evans,Conservative,7958,21.36%,,,,,
,,Alaister Cameron,Liberal Democrat,3880,10.41%,,,,,
,,Arthur Scargill,Socialist Labour,1951,5.24%,,,,,
,,Garth Chaney-Davis,Referendum,1267,3.40%,,,,,
,,Chris Holland,Plaid Cymru,721,1.94%,,,,,
,,,,,,,,,,
Newport West,,Paul Flynn,Labour,24331,60.52%,53914,14537,74.57%,Labour Hold,02/05/97 02:05
,,Peter Clarke,Conservative,9794,24.36%,,,,,
,,Stan Wilson,Liberal Democrat,3907,9.72%,,,,,
,,Colin Thompsett,Referendum,1199,2.98%,,,,,
,,Huw Jackson,Plaid Cymru,648,1.61%,,,,,
,,Hugh Moelwy Hughes,United Kingdom Independence,323,0.80%,,,,,
,,,,,,,,,,
Newry and Armagh,,Seamus Mallon,Social Democratic and Labour,22904,42.99%,70652,4889,75.40%,Social Democratic and Labour Hold,02/05/97 16:18
,,Danny Kennedy,Ulster Unionist,18015,33.82%,,,,,
,,Patrick McNamee,Sinn Féin,11218,21.06%,,,,,
,,Pete Whitcroft,Alliance,1015,1.91%,,,,,
,,David Evans,Natural Law,123,0.23%,,,,,
,,,,,,,,,,
Norfolk Mid,,Keith Simpson,Conservative,22739,39.58%,75311,1336,76.29%,Conservative Hold,02/05/97 04:59
,,Daniel Zeichner,Labour,21403,37.25%,,,,,
,,Susan Frary,Liberal Democrat,8617,15.00%,,,,,
,,Nigel Holder,Referendum,3229,5.62%,,,,,
,,Tony Park,Green,1254,2.18%,,,,,
,,Bruce Parker,Natural Law,215,0.37%,,,,,
,,,,,,,,,,
Norfolk North,,David Prior,Conservative,21456,36.48%,77113,1293,76.27%,Conservative Hold,02/05/97 04:01
,,Norman Lamb,Liberal Democrat,20163,34.28%,,,,,
,,Michael Cullingham,Labour,14736,25.06%,,,,,
,,John Allen,Referendum,2458,4.18%,,,,,
,,,,,,,,,,
Norfolk North West,,George Turner,Labour,25250,43.84%,77083,1339,74.72%,Labour Gain,02/05/97 03:01
,,Henry Bellingham,Conservative,23911,41.51%,,,,,
,,Evelyn Knowles,Liberal Democrat,5513,9.57%,,,,,
,,Roger Percival,Referendum,2923,5.07%,,,,,
,,,,,,,,,,
Norfolk South,,John MacGregor,Conservative,24935,40.15%,79239,7378,78.37%,Conservative Hold,02/05/97 04:51
,,Barbara Hacker,Liberal Democrat,17557,28.27%,,,,,
,,Jane Ross,Labour,16188,26.07%,,,,,
,,Patricia Bateson,Referendum,2533,4.08%,,,,,
,,Stephanie Ross-Wagenknecht,Green,484,0.78%,,,,,
,,Anthony Boddy,United Kingdom Independence,400,0.64%,,,,,
,,,,,,,,,,
Norfolk South West,,Gillian Shephard,Conservative,24694,42.00%,80236,2464,73.28%,Conservative Hold,02/05/97 04:50
,,Adrian Heffernan,Labour,22230,37.81%,,,,,
,,David Buckton,Liberal Democrat,8178,13.91%,,,,,
,,Ronnie Hoare,Referendum,3694,6.28%,,,,,
,,,,,,,,,,
Normanton,,Bill O'Brien,Labour,26046,60.57%,62980,15893,68.28%,Labour Hold,02/05/97 01:17
,,Fiona Bulmer,Conservative,10153,23.61%,,,,,
,,David Ridgway,Liberal Democrat,5347,12.43%,,,,,
,,Ken Shuttleworth,Referendum,1458,3.39%,,,,,
,,,,,,,,,,
Bedfordshire North East,,Nicholas Lyell,Conservative,22311,44.28%,64743,5883,77.83%,Conservative Hold,02/05/97 05:00
,,John Lehal,Labour,16428,32.60%,,,,,
,,Philip Bristow,Liberal Democrat,7179,14.25%,,,,,
,,John Taylor,Referendum,2490,4.94%,,,,,
,,Lew Foley,Independent,1842,3.66%,,,,,
,,Bernard Bence,Natural Law,138,0.27%,,,,,
,,,,,,,,,,
Cornwall North,,Paul Tyler,Liberal Democrat,31100,53.17%,80076,13847,73.05%,Liberal Democrat Hold,02/05/97 04:41
,,Nigel Linacre,Conservative,17253,29.49%,,,,,
,,Annie Lindo,Labour,5523,9.44%,,,,,
,,Felicity Odam,Referendum,3636,6.22%,,,,,
,,John Bolitho,Mebyon Kernow,645,1.10%,,,,,
,,Rif Winfield,Liberal,186,0.32%,,,,,
,,Nicholas Cresswell,Natural Law,152,0.26%,,,,,
,,,,,,,,,,
Devon North,,Nick Harvey,Liberal Democrat,27824,50.76%,70350,6181,77.92%,Liberal Democrat Hold,02/05/97 03:23
,,Richard Ashworth,Conservative,21643,39.48%,,,,,
,,Annie Brenton,Labour,5347,9.75%,,,,,
,,,,,,,,,,
Dorest North,,Robert Walter,Conservative,23294,44.30%,68923,2746,76.30%,Conservative Hold,02/05/97 04:24
,,Paula Yates,Liberal Democrat,20548,39.07%,,,,,
,,John Fitzmaurice,Labour,5380,10.23%,,,,,
,,Margaret Evans,Referendum,2564,4.88%,,,,,
,,David Wheeler,United Kingdom Independence,801,1.52%,,,,,
,,,,,,,,,,
Northampton North,,Sally Keeble,Labour,27247,52.70%,73664,10000,70.18%,Labour Gain,02/05/97 02:38
,,Tony Marlow,Conservative,17247,33.36%,,,,,
,,Lesley Dunbar,Liberal Democrat,6579,12.73%,,,,,
,,D Torbica,United Kingdom Independence,464,0.90%,,,,,
,,Barry Spivack,Natural Law,161,0.31%,,,,,
,,,,,,,,,,
Northampton South,,Tony Clark,Labour,24214,42.40%,79384,744,71.94%,Labour Gain,02/05/97 03:08
,,Michael Morris,Conservative,23470,41.10%,,,,,
,,Anthony Worgan,Liberal Democrat,6316,11.06%,,,,,
,,Christopher Petrie,Referendum,1405,2.46%,,,,,
,,D Clark,United Kingdom Independence,1159,2.03%,,,,,
,,Graham Woollcoombe,Natural Law,541,0.95%,,,,,
,,,,,,,,,,
Northavon,,Steven Webb,Liberal Democrat,26500,42.38%,78943,2137,79.21%,Liberal Democrat Gain,02/05/97 00:55
,,John A Cope,Conservative,24363,38.96%,,,,,
,,Ron Stone,Labour,9767,15.62%,,,,,
,,John Parfitt,Referendum,1900,3.04%,,,,,
,,,,,,,,,,
Norwich North,,Ian Gibson,Labour,27346,49.67%,72521,9470,75.92%,Labour Gain,02/05/97 00:49
,,Robert Kinghorn,Conservative,17876,32.47%,,,,,
,,Paul Young,Liberal Democrat,6951,12.63%,,,,,
,,Tony Bailey-Smith,Referendum,1777,3.23%,,,,,
,,Howard Marks,Loyal Conservative,512,0.93%,,,,,
,,James Hood,Socialist Labour,495,0.90%,,,,,
,,Diana Mills,Natural Law,100,0.18%,,,,,
,,,,,,,,,,
Norwich South,,Charles Clarke,Labour,26267,51.71%,70009,14239,72.56%,Labour Hold,02/05/97 04:23
,,Bashir Khanbhai,Conservative,12028,23.68%,,,,,
,,Andrew Aalders-Dunthorne,Liberal Democrat,9457,18.62%,,,,,
,,David Holdsworth,Referendum,1464,2.88%,,,,,
,,Howard Marks,Loyal Conservative,765,1.51%,,,,,
,,Adrian Holmes,Green,736,1.45%,,,,,
,,Bryan Parsons,Natural Law,84,0.17%,,,,,
,,,,,,,,,,
Nottingham East,,John Heppell,Labour,24755,62.29%,65581,15419,60.60%,Labour Hold,02/05/97 04:32
,,Andrew Raca,Conservative,9336,23.49%,,,,,
,,Kevin Mulloy,Liberal Democrat,4008,10.08%,,,,,
,,Ben Brown,Referendum,1645,4.14%,,,,,
,,,,,,,,,,
Nottingham North,,Graham Allen,Labour,27203,65.71%,65698,18801,63.02%,Labour Hold,02/05/97 04:18
,,Gillian Shaw,Conservative,8402,20.29%,,,,,
,,Rachel Oliver,Liberal Democrat,3301,7.97%,,,,,
,,Joe Neal,Referendum,1858,4.49%,,,,,
,,Andy Belfield,Socialist,637,1.54%,,,,,
,,,,,,,,,,
Nottingham South,,Alan Simpson,Labour,26825,55.29%,72418,13364,67.00%,Labour Hold,02/05/97 05:25
,,Brian Kirsch,Conservative,13461,27.74%,,,,,
,,Gary Long,Liberal Democrat,6265,12.91%,,,,,
,,Ken Thompson,Referendum,1523,3.14%,,,,,
,,Sharron Edwards,National Democratic Resistance,446,0.92%,,,,,
,,,,,,,,,,
Nuneaton,,Bill Olner,Labour,30080,56.21%,72032,13540,74.29%,Labour Hold,02/05/97 02:05
,,Richard Blunt,Conservative,16540,30.91%,,,,,
,,Ron Cockings,Liberal Democrat,4732,8.84%,,,,,
,,Roy English,Referendum,1533,2.86%,,,,,
,,David Bray,Independent,390,0.73%,,,,,
,,Peter Everitt,United Kingdom Independence,238,0.44%,,,,,
,,,,,,,,,,
Ochil,,Martin O'Neill,Labour,19707,45.01%,56572,4652,77.40%,Labour Hold,02/05/97 02:20
,,George Reid,Scottish National,15055,34.38%,,,,,
,,Allan Hogarth,Conservative,6383,14.58%,,,,,
,,Ann Watters,Liberal Democrat,2262,5.17%,,,,,
,,Derek White,Referendum,210,0.48%,,,,,
,,Ian McDonald,Independent,104,0.24%,,,,,
,,Mike Sullivan,Natural Law,65,0.15%,,,,,
,,,,,,,,,,
Ogmore,,Ray Powell,Labour,28163,73.98%,52078,24447,73.10%,Labour Hold,02/05/97 01:48
,,David Unwin,Conservative,3716,9.76%,,,,,
,,Kirsty Williams,Liberal Democrat,3510,9.22%,,,,,
,,John Rogers,Plaid Cymru,2679,7.04%,,,,,
,,,,,,,,,,
Old Bexley and Sidcup,,Edward Heath,Conservative,21608,42.05%,68044,3569,75.53%,Conservative Hold,02/05/97 03:18
,,Richard Justham,Labour,18039,35.10%,,,,,
,,Iain King,Liberal Democrat,8284,16.12%,,,,,
,,Brian Reading,Referendum,2457,4.78%,,,,,
,,C Bullen,United Kingdom Independence,489,0.95%,,,,,
,,Valerie Tyndall,British National,415,0.81%,,,,,
,,Robert Stephens,Natural Law,99,0.19%,,,,,
,,,,,,,,,,
Oldham East and Saddleworth,,Phil Woolas,Labour,22546,41.67%,73189,3389,73.92%,Labour Gain,02/05/97 00:53
,,Chris Davies,Liberal Democrat,19157,35.41%,,,,,
,,John Hudson,Conservative,10666,19.71%,,,,,
,,Douglas Findlay,Referendum,1116,2.06%,,,,,
,,John Smith,Socialist Labour,470,0.87%,,,,,
,,Ian Dalling,Natural Law,146,0.27%,,,,,
,,,,,,,,,,
Oldham West and Royton,,Michael Meacher,Labour,26894,58.80%,69203,16201,66.09%,Labour Hold,02/05/97 00:39
,,Jonathan Lord,Conservative,10693,23.38%,,,,,
,,Howard Cohen,Liberal Democrat,5434,11.88%,,,,,
,,Gias Choudhury,Socialist Labour,1311,2.87%,,,,,
,,Peter Etherden,Referendum,1157,2.53%,,,,,
,,Sheila Dalling,Natural Law,249,0.54%,,,,,
,,,,,,,,,,
Orkney and Shetland,,Jim Wallace,Liberal Democrat,10743,51.99%,32291,6968,64.00%,Liberal Democrat Hold,02/05/97 05:23
,,James Paton,Labour,3775,18.27%,,,,,
,,Willie Ross,Scottish National,2624,12.70%,,,,,
,,Hope Anderson,Conservative,2527,12.23%,,,,,
,,Francis Adamson,Referendum,820,3.97%,,,,,
,,Christian Wharton,Natural Law,116,0.56%,,,,,
,,Arthur Robertson,Independent,60,0.29%,,,,,
,,,,,,,,,,
Orpington,,John Horam,Conservative,24417,40.59%,78749,2952,76.40%,Conservative Hold,02/05/97 02:54
,,Chris Maines,Liberal Democrat,21465,35.68%,,,,,
,,Sue Polydorou,Labour,10753,17.87%,,,,,
,,David Clark,Referendum,2316,3.85%,,,,,
,,J Carver,United Kingdom Independence,526,0.87%,,,,,
,,Robin Almond,Liberal,494,0.82%,,,,,
,,Nicholas Wilton,People's Labour,191,0.32%,,,,,
,,,,,,,,,,
Oxford East,,Andrew Smith,Labour,27205,56.82%,69339,16665,69.05%,Labour Hold,02/05/97 02:29
,,Jonathan Djanogly,Conservative,10540,22.01%,,,,,
,,George Kershaw,Liberal Democrat,7038,14.70%,,,,,
,,Martin Young,Referendum,1391,2.91%,,,,,
,,Craig Simmons,Green,975,2.04%,,,,,
,,William Harper-Jones,People's Labour,318,0.66%,,,,,
,,P Gardner,United Kingdom Independence,234,0.49%,,,,,
,,John Thompson,Natural Law,108,0.23%,,,,,
,,Pathmanathan Mylvaganam,Independent,68,0.14%,,,,,
,,,,,,,,,,
Oxford West and Abingdon,,Evan Harris,Liberal Democrat,26268,42.92%,79329,6285,77.14%,Liberal Democrat Gain,02/05/97 04:29
,,Laurence Harris,Conservative,19983,32.65%,,,,,
,,Susan Brown,Labour,12361,20.20%,,,,,
,,Gillian Eustace,Referendum,1258,2.06%,,,,,
,,Mike Woodin,Green,691,1.13%,,,,,
,,Rodney Buckton,United Kingdom Independence,258,0.42%,,,,,
,,Linda Hodge,People's Labour,238,0.39%,,,,,
,,A Wilson,Natural Law,91,0.15%,,,,,
,,John Rose,Independent,48,0.08%,,,,,
,,,,,,,,,,
Paisley North,,Irene Adams,Labour,20295,59.46%,49725,12814,68.65%,Labour Hold,02/05/97 02:33
,,Ian Mackay,Scottish National,7481,21.92%,,,,,
,,Kenneth Brookes,Conservative,3267,9.57%,,,,,
,,Alan Jelfs,Liberal Democrat,2365,6.93%,,,,,
,,Robert Graham,People's Labour,531,1.56%,,,,,
,,Edwin Mathew,Referendum,196,0.57%,,,,,
,,,,,,,,,,
Paisley South,,Gordon McMaster,Labour,21482,57.51%,54040,12750,69.12%,Labour Gain,02/05/97 02:59
,,Bill Martin,Scottish National,8732,23.38%,,,,,
,,Eileen McCartin,Liberal Democrat,3500,9.37%,,,,,
,,Robert Reid,Conservative,3237,8.67%,,,,,
,,James Lardner,Referendum,254,0.68%,,,,,
,,Sean Clerkin,Scottish Socialist Alliance,146,0.39%,,,,,
,,,,,,,,,,
Pendle,,Gordon Prentice,Labour,25059,53.28%,63049,10824,74.60%,Labour Hold,02/05/97 01:15
,,John Midgley,Conservative,14235,30.26%,,,,,
,,Tony Greaves,Liberal Democrat,5460,11.61%,,,,,
,,Damian Hockney,Referendum,2281,4.85%,,,,,
,,,,,,,,,,
Penrith and The Border,,David Maclean,Conservative,23300,47.59%,66496,10233,73.63%,Conservative Hold,02/05/97 04:14
,,Geyve Walker,Liberal Democrat,13067,26.69%,,,,,
,,Margaret Meling,Labour,10576,21.60%,,,,,
,,Charles Pope,Referendum,2018,4.12%,,,,,
,,,,,,,,,,
Perth,,Roseanna Cunningham,Scottish National,16209,36.38%,60313,3141,73.87%,Scottish National Gain,02/05/97 01:22
,,John Godfrey,Conservative,13068,29.33%,,,,,
,,Douglas Garven Alexander,Labour,11036,24.77%,,,,,
,,Chic Brodie,Liberal Democrat,3583,8.04%,,,,,
,,Robert MacAuley,Referendum,366,0.82%,,,,,
,,Matthew Henderson,United Kingdom Independence,289,0.65%,,,,,
,,,,,,,,,,
Peterborough,,Helen Brinton,Labour,24365,50.31%,65926,7323,73.46%,Labour Gain,02/05/97 04:58
,,Jacqueline Foster,Conservative,17042,35.19%,,,,,
,,David Howarth,Liberal Democrat,5170,10.68%,,,,,
,,Philip Slater,Referendum,924,1.91%,,,,,
,,Charles Brettell,Natural Law,334,0.69%,,,,,
,,John Linskey,United Kingdom Independence,317,0.65%,,,,,
,,Stephen Goldspink,People's Labour,275,0.57%,,,,,
,,,,,,,,,,
Plymouth Devonport,,David Jamieson,Labour,31629,60.87%,74483,19067,69.76%,Labour Hold,02/05/97 04:41
,,Anthony Johnson,Conservative,12562,24.17%,,,,,
,,Richard Copus,Liberal Democrat,5570,10.72%,,,,,
,,Clive Norsworthy,Referendum,1486,2.86%,,,,,
,,Caroline Farrand,United Kingdom Independence,478,0.92%,,,,,
,,Stephen Ebbs,National Democratic Resistance,238,0.46%,,,,,
,,,,,,,,,,
Plymouth Sutton,,Linda Gilroy,Labour Co-op,23881,50.12%,70666,9440,67.43%,Labour/Co-operative Gain,02/05/97 03:20
,,Andrew Crisp,Conservative,14441,30.31%,,,,,
,,Steve Melia,Liberal Democrat,6613,13.88%,,,,,
,,Tim Hanbury,Referendum,1654,3.47%,,,,,
,,Roger Bullock,United Kingdom Independence,499,1.05%,,,,,
,,Kevin Kelway,Independent,396,0.83%,,,,,
,,Frank Lyons,Natural Law,168,0.35%,,,,,
,,,,,,,,,,
Pontefract and Castleford,,Yvette Cooper,Labour,31339,75.71%,62350,25725,66.39%,Labour Hold,02/05/97 01:07
,,Adrian Flook,Conservative,5614,13.56%,,,,,
,,Wesley Paxton,Liberal Democrat,3042,7.35%,,,,,
,,Richard Wood,Referendum,1401,3.38%,,,,,
,,,,,,,,,,
Pontypridd,,Kim Howells,Labour,29290,63.88%,64185,23129,71.44%,Labour Hold,02/05/97 02:37
,,Nigel Howells,Liberal Democrat,6161,13.44%,,,,,
,,Jonathan Cowen,Conservative,5910,12.89%,,,,,
,,Owain Llywelyn,Plaid Cymru,2977,6.49%,,,,,
,,John Wood,Referendum,874,1.91%,,,,,
,,Peter Skelly,Socialist Labour,380,0.83%,,,,,
,,Rob Griffiths,Communist of Britain,178,0.39%,,,,,
,,Anthony Moore,Natural Law,85,0.19%,,,,,
,,,,,,,,,,
Poole,,Robert Syms,Conservative,19726,42.14%,66078,5298,70.84%,Conservative Hold,02/05/97 01:32
,,Alan Tetlow,Liberal Democrat,14428,30.82%,,,,,
,,Hadyn White,Labour,10100,21.58%,,,,,
,,John Riddington,Referendum,1932,4.13%,,,,,
,,P Tyler,United Kingdom Independence,487,1.04%,,,,,
