UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,Peter Johnson,United Kingdom Independence,660,1.93%,,,,,
,,,,,,,,,,
Birmingham Ladywood,,Clare Short,Labour,28134,74.08%,70013,23082,54.24%,Labour Hold,02/05/97 00:30
,,Shailesh Vara,Conservative,5052,13.30%,,,,,
,,Sardul Marwa,Liberal Democrat,3020,7.95%,,,,,
,,Ruth Gurney,Referendum,1086,2.86%,,,,,
,,Andrew Carmichael,National Democratic Resistance,685,1.80%,,,,,
,,,,,,,,,,
Birmingham Northfield,,Richard Burden,Labour,22316,57.45%,56842,11443,68.34%,Labour Hold,02/05/97 02:50
,,Alan Blumenthal,Conservative,10873,27.99%,,,,,
,,Michael Ashall,Liberal Democrat,4078,10.50%,,,,,
,,David Gent,Referendum,1243,3.20%,,,,,
,,Keith Axon,British National,337,0.87%,,,,,
,,,,,,,,,,
Birmingham Perry Barr,,Jeff Rooker,Labour,28921,63.03%,71031,18957,64.60%,Labour Hold,02/05/97 01:36
,,Andrew Dunnett,Conservative,9964,21.71%,,,,,
,,Ray Hassall,Liberal Democrat,4523,9.86%,,,,,
,,Saeed Mahmood,Referendum,843,1.84%,,,,,
,,Alasdair Baxter,Liberal,718,1.56%,,,,,
,,Lee Windridge,British National,544,1.19%,,,,,
,,Avtar Panesar,Independent,374,0.82%,,,,,
,,,,,,,,,,
Birmingham Selly Oak,,Lynne Jones,Labour,28121,55.63%,72049,14088,70.16%,Labour Hold,02/05/97 02:42
,,Graham Greene,Conservative,14033,27.76%,,,,,
,,David Osborne,Liberal Democrat,6121,12.11%,,,,,
,,Laurence Marshall,Referendum,1520,3.01%,,,,,
,,Greg Gardner,People's Labour,417,0.82%,,,,,
,,Peter Sherriff-Knowles,Monster Raving Loony,253,0.50%,,,,,
,,Huw Meads,Natural Law,85,0.17%,,,,,
,,,,,,,,,,
Birmingham Yardley,,Estelle Morris,Labour,17778,47.05%,53058,5315,71.22%,Labour Hold,02/05/97 00:41
,,John Hemming,Liberal Democrat,12463,32.98%,,,,,
,,Anne Jobson,Conservative,6736,17.83%,,,,,
,,Duncan Livingston,Referendum,646,1.71%,,,,,
,,A Ware,United Kingdom Independence,164,0.43%,,,,,
,,,,,,,,,,
Bishop Auckland,,Derek Foster,Labour,30359,65.92%,66754,21064,68.99%,Labour Hold,02/05/97 01:50
,,Josephine Fergus,Conservative,9295,20.18%,,,,,
,,Les Ashworth,Liberal Democrat,4293,9.32%,,,,,
,,David Blacker,Referendum,2104,4.57%,,,,,
,,,,,,,,,,
Blaby,,Andrew Robathan,Conservative,24564,45.83%,70471,6474,76.05%,Conservative Hold,02/05/97 04:40
,,Ross Willmott,Labour,18090,33.75%,,,,,
,,Geoffrey Welsh,Liberal Democrat,8001,14.93%,,,,,
,,Robert Harrison,Referendum,2018,3.77%,,,,,
,,John Peacock,British National,523,0.98%,,,,,
,,Terence Stokes,Independent,397,0.74%,,,,,
,,,,,,,,,,
Blackburn,,Jack Straw,Labour,26141,55.04%,73058,14451,65.01%,Labour Hold,02/05/97 03:17
,,Sangeeta Sidhu,Conservative,11690,24.61%,,,,,
,,Stephen Fenn,Liberal Democrat,4990,10.51%,,,,,
,,David Bradshaw,Referendum,1892,3.98%,,,,,
,,Tina Wingfield,National Democratic Resistance,671,1.41%,,,,,
,,Helen Drummond,Socialist Labour,635,1.34%,,,,,
,,Robin Field,Green,608,1.28%,,,,,
,,Margo Carmichael-Grimshaw,Independent,506,1.07%,,,,,
,,William Batchelor,Independent,362,0.76%,,,,,
,,,,,,,,,,
Blackpool North and Fleetwood,,Joan Humble,Labour,28051,52.19%,74989,8946,71.67%,Labour Gain,02/05/97 05:14
,,Harold Elletson,Conservative,19105,35.55%,,,,,
,,Beverley Hill,Liberal Democrat,4600,8.56%,,,,,
,,Kim Stacey,Referendum,1704,3.17%,,,,,
,,John Ellis,British National,288,0.54%,,,,,
,,,,,,,,,,
Blackpool South,,Gordon Marsden,Labour,29282,57.04%,75720,11616,67.80%,Labour Gain,02/05/97 05:05
,,Richard Booth,Conservative,17666,34.41%,,,,,
,,Doreen Holt,Liberal Democrat,4392,8.55%,,,,,
,,,,,,,,,,
Blaenau Gwent,,Llewellyn Smith,Labour,31493,79.47%,54800,28035,72.32%,Labour Hold,02/05/97 01:35
,,Geraldine Layton,Liberal Democrat,3458,8.73%,,,,,
,,Margrit Williams,Conservative,2607,6.58%,,,,,
,,Jim Criddle,Plaid Cymru,2072,5.23%,,,,,
,,,,,,,,,,
Blaydon,,John McWilliam,Labour,27535,59.96%,64699,16605,70.98%,Labour Hold,02/05/97 01:22
,,Peter Maughan,Liberal Democrat,10930,23.80%,,,,,
,,Mark Watson,Conservative,6048,13.17%,,,,,
,,Richard Rook,Independent,1412,3.07%,,,,,
,,,,,,,,,,
