General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Kitcher, A. Ms.",LD,9'951,31,,+,17
, ,"Hill, M. Ms.",Con,2'412,7.5,,-,1.4
, ,"Tovey, C.",Ind,1'845,5.8,, , 
, ,"Jones, G.C.",PC,1'621,5.1,,-,4.9
, ,"Barnes, R.",BNP,1'173,3.7,*,, 
, ,"Brown, A.",UKIP,872,2.7,*,+,0.4
, ,"Cowdell, A.B.",Soc Lab,195,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'056,12.6,, , 
Middlesbrough [394],65'148,51.4,"Bell, S.*",Lab,15'351,45.9,,-,11.7
, ,"Foote-Wood, C.",LD,6'662,19.9,,+,1.2
, ,"Walsh, J.P.P.",Con,6'283,18.8,,+,2.3
, ,"McTigue, J. Ms.",Ind,1'969,5.9,, , 
, ,"Ferguson, M.S.",BNP,1'954,5.8,,+,3.3
, ,"Parker, R.",UKIP,1'236,3.7,*,+,1.3
, , , ,-----,---,, , 
2005: Lab,, , ,8'689,26,, , 
Middlesbrough South and Cleveland East [395],72'666,63.6,"Blenkinsop, T.F.",Lab,18'138,39.2,,-,11.1
, ,"Bristow, P.",Con,16'461,35.6,,+,3.8
, ,"Emmerson, N.P.",LD,7'340,15.9,,+,2.1
, ,"Lightwing, S.W.",UKIP,1'881,4.1,*,+,2.6
, ,"Gatley, S.",BNP,1'576,3.4,*,+,0.9
, ,"Allen, M.J.",Ind,818,1.8,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'677,3.6,, , 
Midlothian [396],61'387,63.9,"Hamilton, D.*",Lab,18'449,47,,+,1.5
, ,"Beattie, C.",SNP,8'100,20.6,,+,3.7
, ,"Laird, R.",LD,6'711,17.1,,-,9.1
, ,"Callander, J.E.",Con,4'661,11.9,,+,2.5
, ,"Baxter, I.G.",GRN,595,1.5,*,, 
, ,"Norrie, G.",UKIP,364,0.9,*,, 
, ,"McCleery, G.",Ind,196,0.5,*,, 
, ,"Duncan, W.C.",TUSC,166,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'349,26.4,, , 
Milton Keynes North [397],82'432,65.4,"Lancaster, J.M.*",Con,23'419,43.5,,+,7.3
, ,"Pakes, A.E.",Lab,14'458,26.8,,-,11.1
, ,"Hope, J.S. Ms.",LD,11'894,22.1,,+,1.4
, ,"Phillips, M.S.",UKIP,1'772,3.3,*,+,0.5
, ,"Hamilton, R.J.M.",BNP,1'154,2.1,*,, 
, ,"Francis, A.H.",GRN,733,1.4,*,-,0.8
, ,"Lennon, J.F.",CPA,206,0.4,*,, 
, ,"Fensome, M.",MRLP,157,0.3,*,, 
, ,"Vyas, A.M.",Ind,95,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'961,16.6,, , 
Milton Keynes South [398],86'559,63.9,"Stewart, I.A.",Con,23'034,41.6,,+,3.9
, ,"Starkey, P.M. Ms.*",Lab,17'833,32.2,,-,8.6
, ,"Jones, P.M.",LD,9'787,17.7,,+,2.5
, ,"Pinto, J.F.A.",UKIP,2'074,3.7,*,+,0.2
, ,"Tait, M.R.J.",BNP,1'502,2.7,*,, 
, ,"Deacon, K.J. Ms.",GRN,774,1.4,*,-,1.3
, ,"Nti, S.M. Ms.",CPA,245,0.4,*,, 
, ,"Worth, J.P.",NFP,84,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'201,9.4,, , 
Mitcham and Morden [399],65'939,66.4,"McDonagh, S.A. Ms.*",Lab,24'722,56.4,,-,0.3
, ,"Hampton, M.C.A. Ms.",Con,11'056,25.2,,+,0.6
, ,"Coman, L.D. Ms.",LD,5'202,11.9,,-,2.1
, ,"Martin, T.L.",BNP,1'386,3.2,*,, 
, ,"Mills, A.T.",UKIP,857,2,*,, 
, ,"Roy, S.",GRN,381,0.9,*,-,2.6
, ,"Alagaratnam, R. Ms.",Ind,155,0.4,*,, 
, ,"Redgrave, E.A.",Ind,38,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,13'666,31.2,, , 
Mole Valley [400],72'297,75.1,"Beresford, P.*",Con,31'263,57.5,,+,2.8
, ,"Humphreys, A. Ms.",LD,15'610,28.7,,-,1.7
, ,"Dove, J.F.",Lab,3'804,7,,-,3.7
, ,"Jones, L.",UKIP,2'752,5.1,,+,2.1
, ,"Sedgwick, R.P.",GRN,895,1.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'653,28.8,, , 
Monmouth [401],64'538,72.1,"Davies, D.T.C.*",Con,22'466,48.3,,+,1.4
, ,"Sandison, H.R.",Lab,12'041,25.9,,-,11.1
, ,"Blakebrough, M.O.",LD,9'026,19.4,,+,6.6
, ,"Clark, J.T.",PC,1'273,2.7,*,+,0.6
, ,"Rowe, D.J.",UKIP,1'126,2.4,*,+,1.2
, ,"Millson, S.",GRN,587,1.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,10'425,22.4,, , 
Montgomeryshire [402],48'730,69.4,"Davies, G.",Con,13'976,41.3,,+,13.8
, ,"Opik, L.*",LD,12'792,37.8,,-,12.5
, ,"Fychan, H. Ms.",PC,2'802,8.3,,+,1.3
, ,"Colbourne, N.",Lab,2'407,7.1,,-,5.2
, ,"Rowlands, D.W.L.",UKIP,1'128,3.3,*,+,0.4
, ,"Ellis, M.",NF,384,1.1,*,, 
, ,"Lawson, B.",Ind,324,1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'184,3.5,, , 
Moray [403],65'925,62.2,"Robertson, A.S.C.*",SNP,16'273,39.7,,+,3.1
, ,"Ross, D.G.",Con,10'683,26.1,,+,4.1
, ,"Green, K.R.N.",Lab,7'007,17.1,,-,3.3
, ,"Paterson, J.",LD,5'956,14.5,,-,4.7
, ,"Gatt, D.",UKIP,1'085,2.6,*,, 
, , , ,-----,---,, , 
2005: SNP,, , ,5'590,13.6,, , 
Morecambe and Lunesdale [404],69'576,62.4,"Morris, D.",Con,18'035,41.5,,+,4.2
, ,"Smith, G. Ms.*",Lab,17'169,39.5,,-,9.5
, ,"Jones, L.",LD,5'791,13.3,,-,0.3
, ,"Knight, M.A.",UKIP,1'843,4.2,*,, 
, ,"Coates, C.",GRN,598,1.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,866,2,, , 
Morley and Outwood [405],74'891,65.2,"Balls, E.*",Lab,18'365,37.6,,-,8.4
, ,"Calvert, A.J.",Con,17'264,35.3,,+,10.3
, ,"Monaghan, J.",LD,8'186,16.8,,+,6.7
, ,"Beverley, C.",BNP,3'535,7.2,,-,0.6
, ,"Daniel, D.",UKIP,1'506,3.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'101,2.3,, , 
Motherwell and Wishaw [406],66'918,58.5,"Roy, F.*",Lab,23'910,61.1,,+,3.6
, ,"Fellows, M. Ms.",SNP,7'104,18.2,,+,1.7
, ,"Douglas, S.",LD,3'840,9.8,,-,2.2
, ,"Gilroy, P. Ms.",Con,3'660,9.4,,+,0.1
, ,"Gunnion, R.",TUSC,609,1.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,16'806,43,, , 
Na h-Eileanan an Iar [407],21'780,67.6,"MacNeil, A.B.*",SNP,6'723,45.7,,+,0.8
, ,"MacSween, D.J.",Lab,4'838,32.9,,-,1.6
, ,"Murray, M.A.",Ind,1'412,9.6,, , 
, ,"Davis, J. Ms.",LD,1'097,7.5,,-,0.5
, ,"Norquay, S. Ms.",Con,647,4.4,*,-,0
, , , ,-----,---,, , 
2005: SNP,, , ,1'885,12.8,, , 
Neath [408],57'295,64.8,"Hain, P.*",Lab,17'172,46.3,,-,6.3
, ,"Llewelyn, A.",PC,7'397,19.9,,+,2.8
, ,"Little, F.",LD,5'535,14.9,,+,0.6
, ,"Owens, E. Ms.",Con,4'847,13.1,,+,1.5
, ,"Green, M.",BNP,1'342,3.6,*,, 
, ,"Bevan, J.",UKIP,829,2.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'775,26.3,, , 
New Forest East [409],72'858,68.7,"Lewis, J.M.*",Con,26'443,52.8,,+,3.4
, ,"Scriven, T.G.",LD,15'136,30.3,,-,3
, ,"Sopowski, P.W.J.",Lab,4'915,9.8,,-,2.4
, ,"Day, P.A.",UKIP,2'518,5,,-,0.1
, ,"Golden, B.J. Ms.",GRN,1'024,2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'307,22.6,, , 
New Forest West [410],68'332,69.6,"Swayne, D.A.*",Con,27'980,58.8,,+,2.9
, ,"Plummer, M.I.",LD,11'084,23.3,,+,4.1
, ,"Hurne, J.C. Ms.",Lab,4'666,9.8,,-,6.7
, ,"Lyon, M.E.",UKIP,2'783,5.9,,+,1.7
, ,"Richards, J.E. Ms.",GRN,1'059,2.2,*,-,1.9
, , , ,-----,---,, , 
2005: Con,, , ,16'896,35.5,, , 
Newark [411],71'755,71.4,"Mercer, P.*",Con,27'590,53.9,,+,3.4
, ,"Campbell, I.W.",Lab,11'438,22.3,,-,6
, ,"Jenkins, P. Ms.",LD,10'246,20,,+,1.6
, ,"Irvine, T.",UKIP,1'954,3.8,*,+,1
, , , ,-----,---,, , 
2005: Con,, , ,16'152,31.5,, , 
Newbury [412],79'144,74,"Benyon, R.H.R.*",Con,33'057,56.4,,+,7.4
, ,"Rendel, D.D.",LD,20'809,35.5,,-,7.1
, ,"Cooper, H. Ms.",Lab,2'505,4.3,*,-,1.7
, ,"Black, D.M.",UKIP,1'475,2.5,*,+,0.9
, ,"Hollister, A.O.",GRN,490,0.8,*,, 
, ,"Burgess, B.",Ind,158,0.3,*,, 
, ,"Yates, D.E.",AD,95,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,12'248,20.9,, , 
Newcastle-under-Lyme [413],69'433,62.2,"Farrelly, P.*",Lab,16'393,38,,-,7.4
, ,"Jenrick, R.E.",Con,14'841,34.4,,+,9.4
, ,"Jones, N.",LD,8'466,19.6,,+,0.7
, ,"Nixon, D.E.",UKIP,3'491,8.1,,+,4.5
, , , ,-----,---,, , 
2005: Lab,, , ,1'552,3.6,, , 
Newcastle upon Tyne Central [414],60'507,56.5,"Onwurah, C. Ms.",Lab,15'694,45.9,,-,4.6
, ,"Kane, G.",LD,8'228,24.1,,-,3.4
, ,"Holder, N.",Con,6'611,19.4,,+,2.8
, ,"Booth, K.",BNP,2'302,6.7,, , 
, ,"Davies, M.",UKIP,754,2.2,*,, 
, ,"Pearson, J.",GRN,568,1.7,*,-,2.2
, , , ,-----,---,, , 
2005: Lab,, , ,7'466,21.9,, , 
Newcastle upon Tyne East [415],64'487,58.7,"Brown, N.H.*",Lab,17'043,45,,-,7.7
, ,"Taylor, W.B. Ms.",LD,12'590,33.3,,+,1.5
, ,"Llewellyn, D.R.C.",Con,6'068,16,,+,3
, ,"Spence, A.",BNP,1'342,3.5,*,, 
, ,"Gray, A.",GRN,620,1.6,*,, 
, ,"Levy, M.R.",Comm,177,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'453,11.8,, , 
Newcastle upon Tyne North [416],67'110,65.5,"McKinnell, C. Ms.",Lab,17'950,40.8,,-,9
, ,"Beadle, R.W.A.",LD,14'536,33.1,,+,0.1
, ,"Parkinson, S.G.",Con,7'966,18.1,,+,3.4
, ,"Gibson, T.",BNP,1'890,4.3,*,, 
, ,"Proud, I.",UKIP,1'285,2.9,*,, 
, ,"Heyman, A. Ms.",GRN,319,0.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'414,7.8,, , 
Newport East [417],54'437,63.3,"Morden, J.E. Ms.*",Lab,12'744,37,,-,8.2
, ,"Townsend, C.E.",LD,11'094,32.2,,+,8.5
, ,"Parry, D. Ms.",Con,7'918,23,,-,0.5
, ,"Jones, K.M.",BNP,1'168,3.4,*,, 
, ,"Cross, F.C. Ms.",PC,724,2.1,*,-,1.7
, ,"Rowlands, D.J.",UKIP,677,2,*,-,1
, ,"Screen, E.A. Ms.",Soc Lab,123,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'650,4.8,, , 
Newport West [418],62'111,64,"Flynn, P.P.*",Lab,16'389,41.3,,-,3.6
, ,"Williams, M.R.",Con,12'845,32.3,,+,2.8
, ,"German, V.K. Ms.",LD,6'587,16.6,,-,1.3
, ,"Windsor, T.J.",BNP,1'183,3,*,, 
, ,"Moelwyn Hughes, H.",UKIP,1'144,2.9,*,+,0.5
, ,"Rees, J.",PC,1'122,2.8,*,-,0.8
, ,"Bartolotti, P.J. Ms.",GRN,450,1.1,*,-,0.4
, , , ,-----,---,, , 
2005: Lab,, , ,3'544,8.9,, , 
Newry and Armagh [419],74'308,60.4,"Murphy, C.*",SF,18'857,42,,+,0.6
, ,"Bradley, D.",SDLP,10'526,23.4,,-,1.7
, ,"Kennedy, D.",UCUNF,8'558,19.1,, , 
, ,"Irwin, W.G.",DUP,5'764,12.8,,-,5.5
, ,"Frazer, W.",Ind,656,1.5,*,, 
, ,"Muir, A.",APNI,545,1.2,*,, 
, , , ,-----,---,, , 
2005: SF,, , ,8'331,18.6,, , 
Newton Abbot [420],69'319,69.7,"Morris, A.M. Ms.",Con,20'774,43,,+,8
, ,"Younger-Ross, R.A.*",LD,20'251,41.9,,-,3.6
, ,"Canavan, P.",Lab,3'387,7,,-,4.4
, ,"Hooper, J.M. Ms.",UKIP,3'088,6.4,,-,0.1
, ,"Lindsey, C.J. Ms.",GRN,701,1.5,*,, 
, ,"Sharp, K.H.",Ind,82,0.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,523,1.1,, , 
Norfolk Mid [421],74'260,68.4,"Freeman, G.",Con,25'123,49.5,,+,2.9
, ,"Newman, D.I.",LD,11'267,22.2,,+,3
, ,"Hughes, E.P. Ms.",Lab,8'857,17.4,,-,12.8
, ,"Coke, R.T.",UKIP,2'800,5.5,,+,1.5
, ,"Birt, T.E.",GRN,1'457,2.9,*,, 
, ,"Kelly, C.A. Ms.",BNP,1'261,2.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'856,27.3,, , 
Norfolk North [422],67'851,73.2,"Lamb, N.P.*",LD,27'554,55.5,,+,2.3
, ,"Ivory, T.C.C.",Con,15'928,32.1,,-,3.9
, ,"Harris, P.A.",Lab,2'896,5.8,,-,3.1
, ,"Baker, M.J.M.",UKIP,2'680,5.4,,+,3.7
, ,"Boswell, A.P.",GRN,508,1,*,, 
, ,"Mann, S.E.",Ind,95,0.2,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,11'626,23.4,, , 
Norfolk North West [423],73'105,65.4,"Bellingham, H.C.*",Con,25'916,54.2,,+,4.3
, ,"Summers, W.D.",LD,11'106,23.2,,+,8.5
, ,"Sood, M.A.",Lab,6'353,13.3,,-,18.3
, ,"Gray, J.W.",UKIP,1'841,3.9,*,+,0.2
, ,"Fleming, D.A.",BNP,1'839,3.8,*,, 
, ,"de Whalley, A.M.",GRN,745,1.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,14'810,31,, , 
Norfolk South [424],76'179,72.2,"Bacon, R.M.*",Con,27'133,49.3,,+,5.2
, ,"Howe, J.A. Ms.",LD,16'193,29.4,,-,1.3
, ,"Castle, M.V.",Lab,7'252,13.2,,-,9
, ,"Heasley, E.",UKIP,2'329,4.2,*,+,1.4
, ,"Mitchell, H.M. Ms.",BNP,1'086,2,*,, 
, ,"Willcott, J. Ms.",GRN,1'000,1.8,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,10'940,19.9,, , 
Norfolk South West [425],73'758,66.6,"Truss, E.M. Ms.",Con,23'753,48.3,,+,3.4
, ,"Gordon, S.J.",LD,10'613,21.6,,+,2.4
, ,"Smith, P.D.",Lab,9'119,18.6,,-,11.4
, ,"Hipsey, K. Ms.",UKIP,3'061,6.2,,+,1.5
, ,"Pearce, D.",BNP,1'774,3.6,*,, 
, ,"Allen, L. Ms.",GRN,830,1.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'140,26.7,, , 
"Normanton Pontefract and Castleford [426]",82'336,56.2,"Cooper, Y. Ms.*",Lab,22'293,48.2,,-,17.1
, ,"Pickles, N.",Con,11'314,24.5,,+,7.9
, ,"Rush, C.",LD,7'585,16.4,,+,5.3
, ,"Thewlis-Hardy, G.G.",BNP,3'864,8.4,,+,4.4
, ,"Allen, G.",Ind,1'183,2.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'979,23.7,, , 
Northampton North [427],61'850,65.1,"Ellis, M.T.",Con,13'735,34.1,,+,4.4
, ,"Keeble, S.C. Ms.*",Lab,11'799,29.3,,-,9.4
, ,"Simpson, A.S.J.",LD,11'250,27.9,,+,1
, ,"Beasley, R.J.",BNP,1'316,3.3,*,, 
, ,"Macarthur, M.",UKIP,1'238,3.1,*,+,0.6
, ,"Lochmuller, A.J.",GRN,443,1.1,*,, 
, ,"Fitzpatrick, E.",Ind,334,0.8,*,, 
, ,"Webb, T.S.D.",Ch P,98,0.2,*,, 
, ,"Mildren, M.K.",Ind,58,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'936,4.8,, , 
Northampton South [428],63'105,61.8,"Binley, B.A.R.*",Con,15'917,40.8,,+,3
, ,"Loakes, C.W.",Lab,9'913,25.4,,-,16.1
, ,"Varnsverry, P.D.",LD,7'579,19.4,,+,5.9
, ,"Clarke, A.R.",Ind,2'242,5.8,, , 
, ,"Clark, D.R.",UKIP,1'897,4.9,*,+,2.8
, ,"Sills, K.J.",ED,618,1.6,*,, 
, ,"Hawkins, J.M. Ms.",GRN,363,0.9,*,, 
, ,"Green, D.S.",NSPS,325,0.8,*,, 
, ,"Willsher, K.R.J.",Ind,65,0.2,*,, 
, ,"Costello, L.",SMA,59,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'004,15.4,, , 
Northamptonshire South  [429],82'033,73,"Leadsom, A.J. Ms.",Con,33'081,55.2,,+,3.7
, ,"Collins, S.J.",LD,12'603,21,,+,3.9
, ,"May, M.J.",Lab,10'380,17.3,,-,11.4
, ,"Mahoney, B.J.",UKIP,2'406,4,*,+,1.4
, ,"Tappy, T.",ED,735,1.2,*,, 
, ,"Rock, M.C.",GRN,685,1.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,20'478,34.2,, , 
Norwich North [430],64'814,65.7,"Smith, C.R. Ms.*",Con,17'280,40.6,,+,10.1
, ,"Cook, J.",Lab,13'379,31.4,,-,15.7
, ,"Stephen, J.D.",LD,7'783,18.3,,+,2.2
, ,"Tingle, G.S.",UKIP,1'878,4.4,*,+,2.1
, ,"Goldfinch, J. Ms.",GRN,1'245,2.9,*,-,0.3
, ,"Richardson, T.L.",BNP,747,1.8,*,, 
, ,"Holden, B.",Ind,143,0.3,*,, 
, ,"Holland, A.M.",Ch P,118,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'901,9.2,, , 
Norwich South [431],73'649,64.6,"Wright, S.J.",LD,13'960,29.4,,-,0.6
, ,"Clarke, C.R.*",Lab,13'650,28.7,,-,8.7
, ,"Little, A.D.",Con,10'902,22.9,,+,1.1
, ,"Ramsay, A.P.",GRN,7'095,14.9,,+,7.5
, ,"Emmens, S.M.",UKIP,1'145,2.4,*,+,0.9
, ,"Heather, L.A.",BNP,697,1.5,*,, 
, ,"Polley, G.A.C.",WRP,102,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,310,0.7,, , 
Nottingham East [432],58'705,56.4,"Leslie, C.M.",Lab,15'022,45.4,,-,1.3
, ,"Boote, S.J.",LD,8'053,24.3,,+,2.5
, ,"Lamont, A.E.",Con,7'846,23.7,,+,1.2
, ,"Wolfe, P.A. Ms.",UKIP,1'138,3.4,*,+,0.9
, ,"Hoare, B.R.",GRN,928,2.8,*,-,2.4
, ,"Sardar, P.A.",Ch P,125,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'969,21,, , 
Nottingham North [433],63'240,54.2,"Allen, G.W.*",Lab,16'646,48.6,,-,10.6
, ,"Curtis, M.J.",Con,8'508,24.8,,+,6.7
, ,"Ball, T.S.",LD,5'849,17.1,,-,0.3
, ,"Brindley, S.D.",BNP,1'944,5.7,, , 
, ,"Marriott, I. Ms.",UKIP,1'338,3.9,*,-,1.5
, , , ,-----,---,, , 
2005: Lab,, , ,8'138,23.7,, , 
Nottingham South [434],67'441,60.5,"Greenwood, L.R. Ms.",Lab,15'209,37.3,,-,8.6
, ,"Holland, R.E. Ms.",Con,13'437,32.9,,+,6.2
, ,"Sutton, T.B.",LD,9'406,23.1,,-,0.4
, ,"Woodward, A.R.",BNP,1'140,2.8,*,, 
, ,"Browne, J.K.",UKIP,967,2.4,*,-,1.5
, ,"Butcher, M.",GRN,630,1.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'772,4.3,, , 
Nuneaton [435],67'837,65.8,"Jones, M.C.",Con,18'536,41.5,,+,4.6
, ,"Innes, J.E. Ms.",Lab,16'467,36.9,,-,9.8
, ,"Jebb, C.R. Ms.",LD,6'846,15.3,,+,2.8
, ,"Findley, M.R.",BNP,2'797,6.3,, , 
, , , ,-----,---,, , 
2005: Lab,, , ,2'069,4.6,, , 
Ochil and South Perthshire [436],75'115,67.2,"Banks, G.R.*",Lab,19'131,37.9,,+,6.5
, ,"Ewing, A. Ms.",SNP,13'944,27.6,,-,2.3
, ,"Michaluk, G.R.G.",Con,10'342,20.5,,-,1
, ,"Littlejohn, G.",LD,5'754,11.4,,-,1.9
, ,"Bushby, D.",UKIP,689,1.4,*,+,0.8
, ,"Charles, H. Ms.",GRN,609,1.2,*,-,0.9
, , , ,-----,---,, , 
2005: Lab,, , ,5'187,10.3,, , 
Ogmore [437],55'527,62.4,"Irranca-Davies, H.*",Lab,18'644,53.8,,-,7.1
, ,"Moore, E.S. Ms.",Con,5'398,15.6,,+,1.4
, ,"Radford, J. Ms.",LD,5'260,15.2,,+,0.5
, ,"Clark, D.",PC,3'326,9.6,,-,0.6
, ,"Thomas, K. Ms.",BNP,1'242,3.6,*,, 
, ,"Passey, C.A. Ms.",UKIP,780,2.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,13'246,38.2,, , 
Old Bexley and Sidcup [438],65'699,69.2,"Brokenshire, J.P.*",Con,24'625,54.1,,+,4.1
, ,"Everitt, R.",Lab,8'768,19.3,,-,8.7
, ,"Borrowman, D.K.",LD,6'996,15.4,,+,1.5
, ,"Brooks, R.J.",BNP,2'132,4.7,*,+,1.8
, ,"Coburn, D.A.",UKIP,1'532,3.4,*,-,1.2
, ,"Cheeseman, E.F. Ms.",ED,520,1.1,*,, 
, ,"Hemming-Clark, J.S.C.",ISQM,393,0.9,*,, 
, ,"Rooks, J.S.",GRN,371,0.8,*,, 
, ,"Dynamite, N.",MRLP,155,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'857,34.9,, , 
Oldham East and Saddleworth [439],72'557,61.4,"Woolas, P.J.*",Lab,14'186,31.9,,-,10.7
, ,"Watkins, E.",LD,14'083,31.6,,-,0.5
, ,"Ali, K.",Con,11'773,26.4,,+,8.7
, ,"Stott, A.",BNP,2'546,5.7,,+,0.6
, ,"Bentley, D.J.",UKIP,1'720,3.9,*,+,1.8
, ,"Nazir, G.",Ch P,212,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,103,0.2,, , 
Oldham West and Royton [440],72'359,59.3,"Meacher, M.H.*",Lab,19'503,45.5,,-,2.9
, ,"Ghafoor, K.",Con,10'151,23.7,,+,2.6
, ,"Alcock, M.",LD,8'193,19.1,,-,2.1
, ,"Joines, D.P.",BNP,3'049,7.1,,+,0.3
, ,"Roberts, H. Ms.",UKIP,1'387,3.2,*,+,0.7
, ,"Miah, S.",Respect,627,1.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'352,21.8,, , 
Orkney and Shetland [441],33'085,58.5,"Carmichael, A.M.*",LD,11'989,62,,+,10.5
, ,"Cooper, M.",Lab,2'061,10.7,,-,3.5
, ,"Mowat, J.R.",SNP,2'042,10.6,,+,0.2
, ,"Spencer Nairn, C.F.",Con,2'032,10.5,,-,2.8
, ,"Smith, R.W.",UKIP,1'222,6.3,,+,3.9
, , , ,-----,---,, , 
2005: LD,, , ,9'928,51.3,, , 
Orpington [442],67'732,72.2,"Johnson, J.E.",Con,29'200,59.7,,+,8.5
, ,"McBride, D.",LD,12'000,24.5,,-,15.9
, ,"Morgan, S.R.",Lab,4'400,9,,+,3
, ,"Greenhough, J.M.",UKIP,1'360,2.8,*,+,0.4
, ,"Culnane, M.T. Ms.",BNP,1'241,2.5,*,, 
, ,"Galloway, T.E. Ms.",GRN,511,1,*,, 
, ,"Snape, C.K.",ED,199,0.4,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,17'200,35.2,, , 
Oxford East [443],81'903,63.1,"Smith, A.D.*",Lab,21'938,42.5,,+,6.5
, ,"Goddard, S.H.",LD,17'357,33.6,,-,1.6
, ,"Argar, E.J.C.",Con,9'727,18.8,,+,1.5
, ,"Dhall, S.D. Ms.",GRN,1'238,2.4,*,-,2.1
, ,"Gasper, J.M. Ms.",UKIP,1'202,2.3,*,+,0.6
, ,"O'Sullivan, D.A.",SEP,116,0.2,*,, 
, ,"Crawford, R.M.",EPA,73,0.1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'581,8.9,, , 
Oxford West and Abingdon [444],86'458,65.3,"Blackwood, N.C. Ms.",Con,23'906,42.3,,+,9.6
, ,"Harris, E.*",LD,23'730,42,,-,4.1
, ,"Stevens, R.M.",Lab,5'999,10.6,,-,5.2
, ,"Williams, P.J.",UKIP,1'518,2.7,*,+,1.2
, ,"Goodall, C.",GRN,1'184,2.1,*,-,1.7
, ,"Mann, K.J.",APP,143,0.3,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,176,0.3,, , 
Paisley and Renfrewshire North [445],63'704,68.6,"Sheridan, J.*",Lab,23'613,54,,+,8.3
, ,"MacLaren, M. Ms.",SNP,8'333,19.1,,+,0.2
, ,"Campbell, A.",Con,6'381,14.6,,+,1
, ,"Dobson, R.",LD,4'597,10.5,,-,7.7
, ,"Pearson, G.",Ind,550,1.3,*,, 
, ,"Rollo, C.",SSP,233,0.5,*,-,1
, , , ,-----,---,, , 
2005: Lab,, , ,15'280,35,, , 
Paisley and Renfrewshire South [446],61'197,65.4,"Alexander, D.G.*",Lab,23'842,59.6,,+,7
, ,"Doig, A.",SNP,7'228,18.1,,+,0.5
, ,"McCaskill, G.A.",Con,3'979,9.9,,+,1.5
, ,"Ghai, A.",LD,3'812,9.5,,-,8.1
, ,"Mack, P.",Ind,513,1.3,*,, 
, ,"Kerr, J.",SSP,375,0.9,*,-,1.1
, ,"Hendry, W.",Ind,249,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,16'614,41.5,, , 
Pendle [447],66'422,67.8,"Stephenson, A.",Con,17'512,38.9,,+,7.1
, ,"Prentice, G.*",Lab,13'927,30.9,,-,6.2
, ,"Anwar, M.A.",LD,9'095,20.2,,-,3
, ,"Jackman, J.D.M.",BNP,2'894,6.4,,+,0.2
, ,"Cannon, G.G.",UKIP,1'476,3.3,*,+,1.5
, ,"Masih, R.E.",Ch P,141,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'585,8,, , 
Penistone and Stocksbridge [448],68'480,67.9,"Smith, A. Ms.*",Lab,17'565,37.8,,-,7.4
, ,"Pitfield, S.",Con,14'516,31.2,,+,7.5
, ,"Cuthbertson, I.M.",LD,9'800,21.1,,-,3.7
, ,"James, P.",BNP,2'207,4.7,*,-,0
, ,"French, G.",UKIP,1'936,4.2,*,+,2.5
, ,"McEnhill, P.H.A.",ED,492,1.1,*,, 
