UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
Manchester Gorton,,Gerald Kaufman,Labour,17099,62.80%,63834,11304,42.66%,Labour Hold,08/06/01 01:20
,,Jackie Pearcey,Liberal Democrat,5795,21.28%,,,,,
,,Christopher Causer,Conservative,2705,9.93%,,,,,
,,Bruce Bingham,Green,835,3.07%,,,,,
,,Rashid Bhatti,United Kingdom Independence,462,1.70%,,,,,
,,Kirsty Muir,Socialist Labour,333,1.22%,,,,,
,,,,,,,,,,
Manchester Withington,,Keith Bradley,Labour,19239,54.89%,67480,11524,51.94%,Labour Hold,08/06/01 01:45
,,Yasmin Zalzala,Liberal Democrat,7715,22.01%,,,,,
,,Julian Samways,Conservative,5349,15.26%,,,,,
,,Michelle Valentine,Green,1539,4.39%,,,,,
,,John Clegg,Socialist Alliance,1208,3.45%,,,,,
,,,,,,,,,,
Mansfield,,Alan Meale,Labour,21050,57.12%,66748,11038,55.21%,Labour Hold,08/06/01 02:18
,,William Wellesley,Conservative,10012,27.17%,,,,,
,,Tim Hill,Liberal Democrat,5790,15.71%,,,,,
,,,,,,,,,,
Medway,,Robert Marshall-Andrews,Labour,18914,48.99%,64930,3780,59.46%,Labour Hold,08/06/01 01:42
,,Mark Reckless,Conservative,15134,39.20%,,,,,
,,Geoffrey Juby,Liberal Democrat,3604,9.33%,,,,,
,,Nikki Sinclaire,United Kingdom Independence,958,2.48%,,,,,
,,,,,,,,,,
Meirionnydd Nant Conwy,,Elfyn Llwyd,Plaid Cymru,10459,49.64%,33175,5684,63.51%,Plaid Cymru Hold,08/06/01 01:38
,,Denise Idris Jones,Labour,4775,22.66%,,,,,
,,Lisa Francis,Conservative,3962,18.81%,,,,,
,,Dafydd Raw-Rees,Liberal Democrat,1872,8.89%,,,,,
,,,,,,,,,,
Meriden,,Caroline Spelman,Conservative,21246,47.68%,74439,3784,59.86%,Conservative Hold,08/06/01 02:10
,,Christine Shawcroft,Labour,17462,39.19%,,,,,
,,Nigel Hicks,Liberal Democrat,4941,11.09%,,,,,
,,Richard Adams,United Kingdom Independence,910,2.04%,,,,,
,,,,,,,,,,
Merthyr Tydfil and Rhymney,,Dai Havard,Labour,19574,61.78%,55368,14923,57.22%,Labour Hold,08/06/01 02:19
,,Robert Hughes,Plaid Cymru,4651,14.68%,,,,,
,,Keith Rogers,Liberal Democrat,2385,7.53%,,,,,
,,Richard Cuming,Conservative,2272,7.17%,,,,,
,,Jeff Edwards,Independent,1936,6.11%,,,,,
,,Ken Evans,Socialist Labour,692,2.18%,,,,,
,,Anthony Lewis,ProLife Alliance,174,0.55%,,,,,
,,,,,,,,,,
Middlesbrough,,Stuart Bell,Labour,22783,67.57%,67659,16330,49.83%,Labour Hold,08/06/01 00:46
,,Alex Finn,Conservative,6453,19.14%,,,,,
,,Geoff Kerr-Morgan,Socialist Alliance,3512,10.42%,,,,,
,,Keith Miller,Liberal Democrat,577,1.71%,,,,,
,,Kai Andersen,Socialist Labour,392,1.16%,,,,,
,,,,,,,,,,
Middlesbrough South and East Cleveland,,Ashok Kumar,Labour,24321,55.29%,71485,9351,61.54%,Labour Hold,08/06/01 02:15
,,Barbara Harpham,Conservative,14970,34.03%,,,,,
,,Linda Parrish,Liberal Democrat,4700,10.68%,,,,,
,,,,,,,,,,
Midlothian,,David Hamilton,Labour,15145,52.73%,48625,9014,59.07%,Labour Hold,08/06/01 01:05
,,Ian Goldie,Scottish National,6131,21.34%,,,,,
,,Jacqueline Bell,Liberal Democrat,3686,12.83%,,,,,
,,Robin Traquair,Conservative,2748,9.57%,,,,,
,,Bob Goupillot,Scottish Socialist,837,2.91%,,,,,
,,Terence Holden,ProLife Alliance,177,0.62%,,,,,
,,,,,,,,,,
Milton Keynes North East,,Brian White,Labour,19761,41.96%,75526,1829,62.35%,Labour Hold,08/06/01 02:05
,,Marion Rix,Conservative,17932,38.08%,,,,,
,,David Yeoward,Liberal Democrat,8375,17.78%,,,,,
,,Michael Phillips,United Kingdom Independence,1026,2.18%,,,,,
,,,,,,,,,,
Milton Keynes South West,,Phyllis Starkey,Labour,22484,49.54%,76607,6978,59.24%,Labour Hold,08/06/01 02:45
,,Iain Stewart,Conservative,15506,34.17%,,,,,
,,Nazar Mohammad,Liberal Democrat,4828,10.64%,,,,,
,,Alan Francis,Green,957,2.11%,,,,,
,,Clive Davies,United Kingdom Independence,848,1.87%,,,,,
,,Patrick Denning,Legalise Cannabis Alliance,500,1.10%,,,,,
,,Dave Bradbury,Socialist Alliance,261,0.58%,,,,,
,,,,,,,,,,
Mitcham and Morden,,Siobhain McDonagh,Labour,22936,60.42%,65671,13785,57.80%,Labour Hold,08/06/01 01:37
,,Harry Stokes,Conservative,9151,24.11%,,,,,
,,Nicholas Harris,Liberal Democrat,3820,10.06%,,,,,
,,Tom Walsh,Green,926,2.44%,,,,,
,,John Tyndall,British National,642,1.69%,,,,,
,,Adrian Roberts,United Kingdom Independence,486,1.28%,,,,,
,,,,,,,,,,
Mole Valley,,Paul Beresford,Conservative,23790,50.54%,67770,10153,69.46%,Conservative Hold,08/06/01 03:08
,,Celia Savage,Liberal Democrat,13637,28.97%,,,,,
,,Dan Redford,Labour,7837,16.65%,,,,,
,,Ron Walters,United Kingdom Independence,1333,2.83%,,,,,
,,William Newton,ProLife Alliance,475,1.01%,,,,,
,,,,,,,,,,
Monmouth,,Huw Edwards,Labour,19021,42.78%,62202,384,71.48%,Labour Hold,08/06/01 05:02
,,Roger Evans,Conservative,18637,41.92%,,,,,
,,Neil Parker,Liberal Democrat,5080,11.43%,,,,,
,,Marc Hubbard,Plaid Cymru,1068,2.40%,,,,,
,,David Rowlands,United Kingdom Independence,656,1.48%,,,,,
,,,,,,,,,,
Montgomeryshire,,Lembit Öpik,Liberal Democrat,14319,49.40%,44243,6234,65.51%,Liberal Democrat Hold,08/06/01 01:48
,,David Jones,Conservative,8085,27.90%,,,,,
,,Paul Davies,Labour,3443,11.88%,,,,,
,,David Senior,Plaid Cymru,1969,6.79%,,,,,
,,David William Rowlands,United Kingdom Independence,786,2.71%,,,,,
,,Ruth Davies,ProLife Alliance,210,0.72%,,,,,
,,Reg Taylor,Independent,171,0.59%,,,,,
,,,,,,,,,,
Moray,,Angus Robertson,Scottish National,10076,30.33%,58008,1744,57.27%,Scottish National Hold,08/06/01 02:00
,,Catriona Munro,Labour,8332,25.08%,,,,,
,,Frank Spencer-Nairn,Conservative,7677,23.11%,,,,,
,,Linda Gorn,Liberal Democrat,5224,15.72%,,,,,
,,Norma Anderson,Scottish Socialist,821,2.47%,,,,,
,,Bill Jappy,Independent,802,2.41%,,,,,
,,Nigel Kenyon,United Kingdom Independence,291,0.88%,,,,,
,,,,,,,,,,
Morecambe and Lunesdale,,Geraldine Smith,Labour,20646,49.56%,68607,5092,60.72%,Labour Hold,08/06/01 03:44
,,David Nuttall,Conservative,15554,37.34%,,,,,
,,Chris Cotton,Liberal Democrat,3817,9.16%,,,,,
,,Gregg Beaman,United Kingdom Independence,935,2.24%,,,,,
,,Cherith Adams,Green,703,1.69%,,,,,
,,,,,,,,,,
Morley and Rothwell,,Colin Challen,Labour,21919,57.02%,71815,12090,53.53%,Labour Hold,08/06/01 02:22
,,David Schofield,Conservative,9829,25.57%,,,,,
,,Stewart Golton,Liberal Democrat,5446,14.17%,,,,,
,,John Bardsley,United Kingdom Independence,1248,3.25%,,,,,
,,,,,,,,,,
Motherwell and Wishaw,,Frank Roy,Labour,16681,56.22%,52418,10956,56.61%,Labour Hold,08/06/01 00:37
,,Jim McGuigan,Scottish National,5725,19.29%,,,,,
,,Mark Nolan,Conservative,3155,10.63%,,,,,
,,Iain Brown,Liberal Democrat,2791,9.41%,,,,,
,,Stephen Smellie,Scottish Socialist,1260,4.25%,,,,,
,,Claire Watt,Socialist Labour,61,0.21%,,,,,
,,,,,,,,,,
Neath,,Peter Hain,Labour,21253,60.69%,56107,14816,62.42%,Labour Hold,08/06/01 01:55
,,Alun Llywelyn,Plaid Cymru,6437,18.38%,,,,,
,,David Davies,Liberal Democrat,3335,9.52%,,,,,
,,David Devine,Conservative,3310,9.45%,,,,,
,,Huw Pudner,Socialist Alliance,483,1.38%,,,,,
,,Gerardo Brienza,ProLife Alliance,202,0.58%,,,,,
,,,,,,,,,,
New Forest East,,Julian Lewis,Conservative,17902,42.44%,66767,3829,63.17%,Conservative Hold,08/06/01 03:04
,,Brian Dash,Liberal Democrat,14073,33.37%,,,,,
,,Alan Goodfellow,Labour,9141,21.67%,,,,,
,,William Howe,United Kingdom Independence,1062,2.52%,,,,,
,,,,,,,,,,
New Forest West,,Desmond Swayne,Conservative,24575,55.74%,67806,13191,65.02%,Conservative Hold,08/06/01 03:13
,,Mike Bignell,Liberal Democrat,11384,25.82%,,,,,
,,Crada Onuegbu,Labour,6481,14.70%,,,,,
,,Michael Clark,United Kingdom Independence,1647,3.74%,,,,,
,,,,,,,,,,
Newark,,Patrick Mercer,Conservative,20983,46.48%,71089,4073,63.51%,Conservative Gain,08/06/01 04:20
,,Fiona Jones,Labour,16910,37.46%,,,,,
,,David Harding-Price,Liberal Democrat,5970,13.22%,,,,,
,,Donald Haxby,Independent,822,1.82%,,,,,
,,Ian Thomson,Socialist Alliance,462,1.02%,,,,,
,,,,,,,,,,
Newbury,,David Rendel,Liberal Democrat,24507,48.24%,75490,2415,67.30%,Liberal Democrat Hold,08/06/01 01:24
,,Richard Benyon,Conservative,22092,43.48%,,,,,
,,Steve Billcliffe,Labour,3523,6.93%,,,,,
,,Delphine Gray-Fisk,United Kingdom Independence,685,1.35%,,,,,
,,,,,,,,,,
Newcastle upon Tyne Central,,Jim Cousins,Labour,19169,54.97%,65739,11605,53.04%,Labour Hold,08/06/01 02:00
,,Stephen Psallidas,Liberal Democrat,7564,21.69%,,,,,
,,Aidan Ruff,Conservative,7414,21.26%,,,,,
,,Gordon Potts,Socialist Labour,723,2.07%,,,,,
,,,,,,,,,,
Newcastle upon Tyne East and Wallsend,,Nick H Brown,Labour,20642,63.14%,67970,14223,48.10%,Labour Hold,08/06/01 01:18
,,David Ord,Liberal Democrat,6419,19.63%,,,,,
,,Tim Troman,Conservative,3873,11.85%,,,,,
,,Andrew Gray,Green,651,1.99%,,,,,
,,Harash Narang,Independent,563,1.72%,,,,,
,,Blanch Carpenter,Socialist Labour,420,1.28%,,,,,
,,Martin Levy,Communist of Britain,126,0.39%,,,,,
,,,,,,,,,,
Newcastle upon Tyne North,,Doug Henderson,Labour,21874,60.15%,61494,14450,59.14%,Labour Hold,08/06/01 01:20
,,Phillip Smith,Conservative,7424,20.41%,,,,,
,,Graham Soult,Liberal Democrat,7070,19.44%,,,,,
,,,,,,,,,,
Newcastle-under-Lyme,,Paul Farrelly,Labour,20650,53.40%,63208,9986,61.19%,Labour Hold,08/06/01 01:00
,,Mike Flynn,Conservative,10664,27.57%,,,,,
,,Jerry Roodhouse,Liberal Democrat,5993,15.50%,,,,,
,,Robert Fyson,Independent,773,2.00%,,,,,
,,Paul Godfrey,United Kingdom Independence,594,1.54%,,,,,
,,,,,,,,,,
Newport East,,Alan Howarth,Labour,17120,54.73%,56118,9874,55.74%,Labour Hold,08/06/01 02:03
,,Ian Oakley,Conservative,7246,23.16%,,,,,
,,Alistair Cameron,Liberal Democrat,4394,14.05%,,,,,
,,Madoc Batcup,Plaid Cymru,1519,4.86%,,,,,
,,Liz Screen,Socialist Labour,420,1.34%,,,,,
,,Neal Reynolds,United Kingdom Independence,410,1.31%,,,,,
,,Robert Griffiths,Communist of Britain,173,0.55%,,,,,
,,,,,,,,,,
Newport West,,Paul Flynn,Labour,18489,52.73%,59742,9304,58.69%,Labour Hold,08/06/01 01:46
,,William Morgan,Conservative,9185,26.20%,,,,,
,,Veronica Watkins,Liberal Democrat,4095,11.68%,,,,,
,,Anthony Salkeld,Plaid Cymru,2510,7.16%,,,,,
,,Hugh Moelwyn-Hughes,United Kingdom Independence,506,1.44%,,,,,
,,Terry Cavill,British National,278,0.79%,,,,,
,,,,,,,,,,
Newry and Armagh,,Seamus Mallon,Social Democratic and Labour,20784,37.37%,72466,3575,76.75%,Social Democratic and Labour Hold,08/06/01 21:01
,,Conor Murphy,Sinn Féin,17209,30.94%,,,,,
,,Paul Berry,Democratic Unionist,10795,19.41%,,,,,
,,Sylvia McRoberts,Ulster Unionist,6833,12.28%,,,,,
,,,,,,,,,,
Norfolk Mid,,Keith Simpson,Conservative,23519,44.76%,74911,4562,70.15%,Conservative Hold,08/06/01 06:07
,,Daniel Zeichner,Labour,18957,36.08%,,,,,
,,Vivienne Clifford-Jackson,Liberal Democrat,7621,14.50%,,,,,
,,John Agnew,United Kingdom Independence,1333,2.54%,,,,,
,,Peter Reeve,Green,1118,2.13%,,,,,
,,,,,,,,,,
Norfolk North,,Norman Lamb,Liberal Democrat,23978,42.65%,80061,483,70.22%,Liberal Democrat Gain,08/06/01 05:01
,,David Prior,Conservative,23495,41.79%,,,,,
,,Michael Gates,Labour,7490,13.32%,,,,,
,,Mike Sheridan,Green,649,1.15%,,,,,
,,Paul Simison,United Kingdom Independence,608,1.08%,,,,,
,,,,,,,,,,
Norfolk North West,,Henry Bellingham,Conservative,24846,48.52%,77387,3485,66.16%,Conservative Gain,08/06/01 02:59
,,George Turner,Labour,21361,41.72%,,,,,
,,Ian Mack,Liberal Democrat,4292,8.38%,,,,,
,,Ian Durrant,United Kingdom Independence,704,1.37%,,,,,
,,,,,,,,,,
Norfolk South,,Richard Bacon,Conservative,23589,42.18%,82710,6893,67.62%,Conservative Hold,08/06/01 03:41
,,Anne Lee,Liberal Democrat,16696,29.85%,,,,,
,,Mark Wells,Labour,13719,24.53%,,,,,
,,Stephanie Ross-Wagenknecht,Green,1069,1.91%,,,,,
,,Joseph Neal,United Kingdom Independence,856,1.53%,,,,,
,,,,,,,,,,
Norfolk South West,,Gillian Shephard,Conservative,27633,52.19%,83903,9366,63.11%,Conservative Hold,08/06/01 05:44
,,Anne Hanson,Labour,18267,34.50%,,,,,
,,Gordon Dean,Liberal Democrat,5681,10.73%,,,,,
,,Ian Smith,United Kingdom Independence,1368,2.58%,,,,,
,,,,,,,,,,
Normanton,,William O'Brien,Labour,19152,56.07%,65392,9937,52.23%,Labour Hold,08/06/01 00:49
,,Graham Smith,Conservative,9215,26.98%,,,,,
,,Stephen Pearson,Liberal Democrat,4990,14.61%,,,,,
,,Mick Appleyard,Socialist Labour,798,2.34%,,,,,
,,,,,,,,,,
Northampton North,,Sally Keeble,Labour,20507,49.42%,74124,7893,55.98%,Labour Hold,08/06/01 03:14
,,John Whelan,Conservative,12614,30.40%,,,,,
,,Richard Church,Liberal Democrat,7363,17.74%,,,,,
,,Dusan Torbica,United Kingdom Independence,596,1.44%,,,,,
,,Gordon White,Socialist Alliance,414,1.00%,,,,,
,,,,,,,,,,
Northampton South,,Tony Clarke,Labour,21882,42.88%,85271,885,59.84%,Labour Hold,08/06/01 03:20
,,Shailesh Vara,Conservative,20997,41.15%,,,,,
,,Andrew Simpson,Liberal Democrat,6355,12.45%,,,,,
,,Derek Clark,United Kingdom Independence,1237,2.42%,,,,,
,,Tina Harvey,Liberated,362,0.71%,,,,,
,,Clare Johnson,ProLife Alliance,196,0.38%,,,,,
,,,,,,,,,,
Northavon,,Steve Webb,Liberal Democrat,29217,52.40%,78841,9877,70.72%,Liberal Democrat Hold,08/06/01 01:06
,,Carrie Ruxton,Conservative,19340,34.69%,,,,,
,,Robert Hall,Labour,6450,11.57%,,,,,
,,Carmen Carver,United Kingdom Independence,751,1.35%,,,,,
,,,,,,,,,,
Norwich North,,Ian Gibson,Labour,21624,47.41%,74911,5863,60.89%,Labour Hold,08/06/01 01:51
,,Kay Mason,Conservative,15761,34.55%,,,,,
,,Moira Toye,Liberal Democrat,6750,14.80%,,,,,
,,Robert Tinch,Green,797,1.75%,,,,,
,,Guy Cheyney,United Kingdom Independence,471,1.03%,,,,,
,,Michael Betts,Independent,211,0.46%,,,,,
,,,,,,,,,,
Norwich South,,Charles Clarke,Labour,19367,45.47%,65792,8816,64.74%,Labour Hold,08/06/01 02:34
,,Andrew French,Conservative,10551,24.77%,,,,,
,,Andrew Aalders-Dunthorne,Liberal Democrat,9640,22.63%,,,,,
,,Adrian Holmes,Green,1434,3.37%,,,,,
,,Alun Buffrey,Legalise Cannabis Alliance,620,1.46%,,,,,
,,Edward Manningham,Socialist Alliance,507,1.19%,,,,,
,,Tarquin Mills,United Kingdom Independence,473,1.11%,,,,,
,,,,,,,,,,
Nottingham East,,John Heppell,Labour,17530,58.96%,65339,10320,45.50%,Labour Hold,08/06/01 01:31
,,Richard Allan,Conservative,7210,24.25%,,,,,
,,Tim S Ball,Liberal Democrat,3874,13.03%,,,,,
,,Pete Radcliff,Socialist Alliance,1117,3.76%,,,,,
,,,,,,,,,,
Nottingham North,,Graham Allen,Labour,19392,64.55%,64281,12240,46.74%,Labour Hold,08/06/01 00:55
,,Martin Wright,Conservative,7152,23.81%,,,,,
,,Rob Lee,Liberal Democrat,3177,10.58%,,,,,
,,Andrew Botham,Socialist Labour,321,1.07%,,,,,
,,,,,,,,,,
Nottingham South,,Alan Simpson,Labour,19949,54.50%,73049,9989,50.11%,Labour Hold,08/06/01 01:13
,,Wendy Manning,Conservative,9960,27.21%,,,,,
,,Kevin Mulloy,Liberal Democrat,6064,16.57%,,,,,
,,David Bartrop,United Kingdom Independence,632,1.73%,,,,,
,,,,,,,,,,
Nuneaton,,Bill Olner,Labour,22577,52.13%,72101,7535,60.07%,Labour Hold,08/06/01 01:40
,,Mark Lancaster,Conservative,15042,34.73%,,,,,
,,Tony Ferguson,Liberal Democrat,4820,11.13%,,,,,
,,Brian James,United Kingdom Independence,873,2.02%,,,,,
,,,,,,,,,,
Ochil,,Martin O'Neill,Labour,16004,45.33%,57554,5349,61.34%,Labour Hold,08/06/01 01:11
,,Keith Brown,Scottish National,10655,30.18%,,,,,
,,Alasdair Campbell,Conservative,4235,12.00%,,,,,
,,Paul Edie,Liberal Democrat,3253,9.21%,,,,,
,,Pauline Thompson,Scottish Socialist,751,2.13%,,,,,
,,Flash Gordon Approaching,Monster Raving Loony,405,1.15%,,,,,
,,,,,,,,,,
Ogmore,,Ray Powell,Labour,18833,62.05%,52185,14574,58.16%,Labour Hold,08/06/01 02:31
,,Angela Pulman,Plaid Cymru,4259,14.03%,,,,,
,,Ian Lewis,Liberal Democrat,3878,12.78%,,,,,
,,Richard Hill,Conservative,3383,11.15%,,,,,
,,,,,,,,,,
Old Bexley and Sidcup,,Derek Conway,Conservative,19130,45.40%,67841,3345,62.11%,Conservative Hold,08/06/01 02:52
,,Jim Dickson,Labour,15785,37.46%,,,,,
,,Belinda Ford,Liberal Democrat,5792,13.75%,,,,,
,,Janice Cronin,United Kingdom Independence,1426,3.38%,,,,,
,,,,,,,,,,
Oldham East and Saddleworth,,Phil Woolas,Labour,17537,38.61%,74511,2726,60.96%,Labour Hold,08/06/01 01:18
,,Howard Sykes,Liberal Democrat,14811,32.61%,,,,,
,,Craig Heeley,Conservative,7304,16.08%,,,,,
,,Michael Treacy,British National,5091,11.21%,,,,,
,,Barbara Little,United Kingdom Independence,677,1.49%,,,,,
,,,,,,,,,,
Oldham West and Royton,,Michael Meacher,Labour,20441,51.15%,69409,13365,57.57%,Labour Hold,08/06/01 01:19
,,Duncan Reed,Conservative,7076,17.71%,,,,,
,,Nick Griffin,British National,6552,16.40%,,,,,
,,Marc Ramsbottom,Liberal Democrat,4975,12.45%,,,,,
,,David Roney,Green,918,2.30%,,,,,
,,,,,,,,,,
Orkney and Shetland,,Alistair Carmichael,Liberal Democrat,6919,41.35%,31909,3475,52.44%,Liberal Democrat Hold,08/06/01 11:10
,,Robert Mochrie,Labour,3444,20.58%,,,,,
,,John Firth,Conservative,3121,18.65%,,,,,
,,John Mowat,Scottish National,2473,14.78%,,,,,
,,Peter Andrews,Scottish Socialist,776,4.64%,,,,,
,,,,,,,,,,
Orpington,,John Horam,Conservative,22334,43.87%,74423,269,68.41%,Conservative Hold,08/06/01 02:58
,,Chris Maines,Liberal Democrat,22065,43.34%,,,,,
,,Chris Purnell,Labour,5517,10.84%,,,,,
,,John Youles,United Kingdom Independence,996,1.96%,,,,,
,,,,,,,,,,
Oxford East,,Andrew Smith,Labour,19681,49.39%,74421,10344,53.54%,Labour Hold,08/06/01 02:32
,,Steve Goddard,Liberal Democrat,9337,23.43%,,,,,
,,Cheryl Potter,Conservative,7446,18.69%,,,,,
,,Pritam Singh,Green,1501,3.77%,,,,,
,,John Lister,Socialist Alliance,708,1.78%,,,,,
,,Peter Gardner,United Kingdom Independence,570,1.43%,,,,,
,,Fahim Ahmed,Socialist Labour,274,0.69%,,,,,
,,Linda Hodge,ProLife Alliance,254,0.64%,,,,,
,,Pathmanathan Mylvaganan,Independent,77,0.19%,,,,,
,,,,,,,,,,
Oxford West and Abingdon,,Evan Harris,Liberal Democrat,24670,47.84%,79915,9185,64.53%,Liberal Democrat Hold,08/06/01 03:31
,,Ed Matts,Conservative,15485,30.03%,,,,,
,,Gillian Kirk,Labour,9114,17.67%,,,,,
,,Mike Woodin,Green,1423,2.76%,,,,,
,,Marcus Watney,United Kingdom Independence,451,0.87%,,,,,
,,Sigrid Shreeve,Independent,332,0.64%,,,,,
,,Robert Twigger,Extinction Club,93,0.18%,,,,,
,,,,,,,,,,
Paisley North,,Irene Adams,Labour,15058,55.46%,47994,9321,56.58%,Labour Hold,08/06/01 00:48
,,George Adam,Scottish National,5737,21.13%,,,,,
,,Jane Hook,Liberal Democrat,2709,9.98%,,,,,
,,Craig Stevenson,Conservative,2404,8.85%,,,,,
,,Jim Halfpenny,Scottish Socialist,982,3.62%,,,,,
,,Robert Graham,ProLife Alliance,263,0.97%,,,,,
,,,,,,,,,,
Paisley South,,Douglas Garven Alexander,Labour,17830,58.39%,53351,11910,57.24%,Labour Hold,08/06/01 01:07
,,Brian Lawson,Scottish National,5920,19.39%,,,,,
,,Brian O'Malley,Liberal Democrat,3178,10.41%,,,,,
,,Andrew Cossar,Conservative,2301,7.54%,,,,,
,,Frances Curran,Scottish Socialist,835,2.73%,,,,,
,,Patricia Graham,ProLife Alliance,346,1.13%,,,,,
,,Terence O'Donnell,Independent,126,0.41%,,,,,
,,,,,,,,,,
Pendle,,Gordon Prentice,Labour,17729,44.62%,62870,4275,63.20%,Labour Hold,08/06/01 01:04
,,Rasjid Skinner,Conservative,13454,33.86%,,,,,
,,David Whipp,Liberal Democrat,5479,13.79%,,,,,
,,Christian Jackson,British National,1976,4.97%,,,,,
,,Graham Cannon,United Kingdom Independence,1094,2.75%,,,,,
,,,,,,,,,,
Penrith and The Border,,David Maclean,Conservative,24302,54.92%,67776,14677,65.29%,Conservative Hold,08/06/01 05:35
,,Kenneth Geyve Walker,Liberal Democrat,9625,21.75%,,,,,
,,Michael Boaden,Labour,8177,18.48%,,,,,
,,Thomas Lowther,United Kingdom Independence,938,2.12%,,,,,
,,Mark Gibson,Legalise Cannabis Alliance,870,1.97%,,,,,
,,John Moffat,Independent,337,0.76%,,,,,
,,,,,,,,,,
Perth,,Annabelle Ewing,Scottish National,11237,29.71%,61497,48,61.49%,Scottish National Hold,08/06/01 03:51
,,Elizabeth Smith,Conservative,11189,29.59%,,,,,
,,Marion Dingwall,Labour,9638,25.49%,,,,,
,,Vicki Harris,Liberal Democrat,4853,12.83%,,,,,
,,Frank Byrne,Scottish Socialist,899,2.38%,,,,,
,,,,,,,,,,
Peterborough,,Helen Brinton,Labour,17975,45.15%,64918,2854,61.33%,Labour Hold,08/06/01 03:50
,,Stewart Jackson,Conservative,15121,37.98%,,,,,
,,Nick Sandford,Liberal Democrat,5761,14.47%,,,,,
,,Julian Fairweather,United Kingdom Independence,955,2.40%,,,,,
,,,,,,,,,,
Plymouth Devonport,,David Jamieson,Labour,24322,58.30%,73666,13033,56.63%,Labour Hold,08/06/01 01:44
,,John Glen,Conservative,11289,27.06%,,,,,
,,Keith Baldry,Liberal Democrat,4513,10.82%,,,,,
,,Michael Parker,United Kingdom Independence,958,2.30%,,,,,
,,Tony Staunton,Socialist Alliance,334,0.80%,,,,,
,,Rob Hawkins,Socialist Labour,303,0.73%,,,,,
,,,,,,,,,,
Plymouth Sutton,,Linda Gilroy,Labour/Co-operative,19827,50.74%,68438,7517,57.09%,Labour/Co-operative Hold,08/06/01 01:19
,,Oliver Colvile,Conservative,12310,31.51%,,,,,
,,Alan Connett,Liberal Democrat,5605,14.34%,,,,,
,,Alan Whitton,United Kingdom Independence,970,2.48%,,,,,
,,Henry Leary,Socialist Labour,361,0.92%,,,,,
,,,,,,,,,,
Pontefract and Castleford,,Yvette Cooper,Labour,21890,69.73%,63181,16378,49.68%,Labour Hold,08/06/01 01:12
,,Pamela Singleton,Conservative,5512,17.56%,,,,,
,,Wesley Paxton,Liberal Democrat,2315,7.37%,,,,,
,,John Burdon,United Kingdom Independence,739,2.35%,,,,,
,,Trevor Bolderson,Socialist Labour,605,1.93%,,,,,
,,John Gill,Socialist Alliance,330,1.05%,,,,,
,,,,,,,,,,
Pontypridd,,Kim Howells,Labour,22963,59.94%,66105,17684,57.95%,Labour Hold,08/06/01 02:26
,,Bleddyn Hancock,Plaid Cymru,5279,13.78%,,,,,
,,Prudence Dailey,Conservative,5096,13.30%,,,,,
,,Eric Brooke,Liberal Democrat,4152,10.84%,,,,,
,,Sue Warry,United Kingdom Independence,603,1.57%,,,,,
,,Joseph Biddulph,ProLife Alliance,216,0.56%,,,,,
,,,,,,,,,,
Poole,,Robert Syms,Conservative,17710,45.14%,64644,7166,60.69%,Conservative Hold,08/06/01 01:00
,,David Watt,Labour,10544,26.88%,,,,,
,,Nick Westbrook,Liberal Democrat,10011,25.52%,,,,,
,,John Bass,United Kingdom Independence,968,2.47%,,,,,
,,,,,,,,,,
Poplar and Canning Town,,Jim Fitzpatrick,Labour,20862,61.16%,75173,14104,45.37%,Labour Hold,08/06/01 02:50
,,Robert Marr,Conservative,6758,19.81%,,,,,
,,Alexi Sugden,Liberal Democrat,3795,11.13%,,,,,
,,Paul Borg,British National,1743,5.11%,,,,,
,,Kambiz Boomla,Socialist Alliance,950,2.79%,,,,,
,,,,,,,,,,
Portsmouth North,,Syd Rapson,Labour,18676,50.66%,64256,5134,57.37%,Labour Hold,08/06/01 00:23
,,Chris Day,Conservative,13542,36.73%,,,,,
,,Darren Sanders,Liberal Democrat,3795,10.29%,,,,,
,,William McCabe,United Kingdom Independence,559,1.52%,,,,,
,,Brian Bundy,Independent,294,0.80%,,,,,
,,,,,,,,,,
Portsmouth South,,Mike Hancock,Liberal Democrat,17490,44.60%,77095,6094,50.87%,Liberal Democrat Hold,08/06/01 01:03
,,Philip Warr,Conservative,11396,29.06%,,,,,
,,Graham Heaney,Labour,9361,23.87%,,,,,
,,John Molyneux,Socialist Alliance,647,1.65%,,,,,
,,Michael Tarrant,United Kingdom Independence,321,0.82%,,,,,
,,,,,,,,,,
Preseli Pembrokeshire,,Jackie Lawrence,Labour,15206,41.35%,54283,2946,67.75%,Labour Hold,08/06/01 03:38
,,Stephen Crabb,Conservative,12260,33.34%,,,,,
,,Rhys Sinnet,Plaid Cymru,4658,12.67%,,,,,
,,Alexander Dauncey,Liberal Democrat,3882,10.56%,,,,,
,,Trish Bowen,Socialist Labour,452,1.23%,,,,,
,,Hugh Jones,United Kingdom Independence,319,0.87%,,,,,
,,,,,,,,,,
Preston,,Mark Hendrick,Labour/Co-operative,20540,56.99%,72077,12268,50.00%,Labour/Co-operative Hold,08/06/01 02:00
,,Graham O'Hare,Conservative,8272,22.95%,,,,,
,,William Chadwick,Liberal Democrat,4746,13.17%,,,,,
